회사명,공장대표주소,업종명,생산품
주식회사 아트랭크,"서울특별시 성동구 뚝섬로1길 63, 702호 (성수동1가, 영창디지털타워) 702호",기타 인쇄업,기타플라스틱 제품
주식회사 애드샵컴퍼니,"서울특별시 성동구 왕십리로 58, B1층 B105호, B109-B116호(성수동1가, FORHU) B1층 B105호, B109-B116호 외 1필지",기타 인쇄업 외 1 종,인쇄물
주식회사 액티브미디어그룹,서울특별시 성동구 아차산로 3 (성수동1가) 성수동 아파트형 공장 두앤캔 하우스 7층 705호,방송장비 제조업,산업용방송기자재
주식회사 에스씨하나애드,"서울특별시 성동구 성수일로 77, b205 (성수동1가, 서울숲IT밸리)",간판 및 광고물 제조업,광고 및 간판
주식회사 에스엔에이,"서울특별시 성동구 성수일로 55, 307호 (성수동1가, SK테크노빌딩) 307호",기타 주변기기 제조업,"컴퓨터서버, 디스크어레이"
주식회사 에이치나인 헬스케어,"서울특별시 성동구 성수이로 147, B1층 B103 (성수동2가)",그 외 기타 의료용 기기 제조업 외 2 종,"대장내시경 검사보조기, 체지방체형 측정기"
주식회사 에이치케이,서울특별시 성동구 동일로 275 (송정동),수동식 식품 가공기기 및 금속 주방용기 제조업 외 9 종,소독기
주식회사 에코런케이,"서울특별시 성동구 아차산로15길 52, 9층 903-1호 (성수동2가)",그 외 기타 의료용 기기 제조업,휴대용 방연후드 마스크
주식회사 엘씨벤쳐스,"서울특별시 성동구 성수일로8길 5, A동 507호, 508호 (성수동2가, 서울숲 SK V1 TOWER) A동 507호, 508호",핸드백 및 지갑 제조업,지갑
주식회사 엘이디피아,"서울특별시 성동구 동일로 217, 지하 (송정동)",전시 및 광고용 조명장치 제조업,LED 조명
주식회사 엠스타넷,"서울특별시 성동구 아차산로17길 49, 1305호(성수동2가, 생각공장데시앙플렉스) 1305호",철도차량 부품 및 관련 장치물 제조업 외 5 종,"주차정산기, 키오스크, 이동형CCTV"
주식회사 예상글로벌,"서울특별시 성동구 성수일로 111, 713호(성수동1가) 713호",일반용 전기 조명장치 제조업,LED조명기구
주식회사 예연창,"서울특별시 성동구 광나루로 241, 경지빌딩 B 2층 (송정동)",비디오 및 기타 영상기기 제조업 외 3 종,상호인식시스템
주식회사 오르,"서울특별시 성동구 성수이로7길 7, 7층 706 (성수동2가, 서울숲 한라시그마밸리Ⅱ)",그 외 기타 플라스틱 제품 제조업,"친환경생활용품, 유아용품 사출 및 원료"
주식회사 올피아,"서울특별시 성동구 성수이로 66, 4층 408 (성수동2가, 서울숲드림타워)",산업처리공정 제어장비 제조업,저반력 너트런너 제어기 시스템 외
주식회사 원브라이트 프린팅,"서울특별시 성동구 아차산로15길 34, 1층 우측호실(성수동2가, 오복빌딩)",기타 인쇄업,라벨 스티커
주식회사 원캐스트,"서울특별시 성동구 아차산로17길 57, 7층 705 (성수동2가)",방송장비 제조업 외 2 종,"방송장비, 유선 통신장비, 기타 음향기기 제조"
주식회사 유엔파인,"서울특별시 성동구 연무장5가길 25, 1009호 (성수동2가)",교통 신호장치 제조업,보행자감지기
주식회사 유투엔지,서울특별시 성동구 아차산로17길 48 (성수동2가) 성수 SK V1 CENTER I 1동 1501호~1502호,그 외 기타 전자부품 제조업 외 4 종,"PCB,무선선량률판독기,무선증계기,데이터통신보드,전기전자 컨트롤러,PLC,신호변환기"
주식회사 유포러스,"서울특별시 성동구 성수일로10길 32, 4층(성수동2가, 창미빌딩)",기타 주변기기 제조업,신분증인식기
주식회사 윤익전자,"서울특별시 성동구 아차산로11길 27, 401호, 402호(성수동2가, 윈스타워) 401호, 402호",기기용 자동측정 및 제어장치 제조업,"보일러 컨트룰러, 태야열 시스템 컨트룰러, 자동제어기기"
주식회사 이너룩스,"서울특별시 성동구 성수일로 39-41, B1층(성수동1가)",일반용 전기 조명장치 제조업,조명기구
주식회사 이바이오젠,"서울특별시 성동구 뚝섬로17가길 48, 408호(성수동2가, 성수에이원 지식산업센터) 408호",그 외 기타 분류 안된 화학제품 제조업,집먼지진드기 검출키트
주식회사 이스트엔드,"서울특별시 성동구 뚝섬로1길 63, 지하 202호, (성수동1가) 외 1필지","근무복, 작업복 및 유사의복 제조업 외 5 종",의류제조
주식회사 제이스버디,서울특별시 성동구 연무장길 53 (성수동2가) 삼영빌딩 2층,섬유제품 기타 정리 및 마무리 가공업 외 5 종,"남녀티셔츠, 바지"
주식회사 제인팅,서울특별시 성동구 성수일로10가길 16 (성수동2가),기타 인쇄업 외 1 종,"인쇄물, 인쇄물"
주식회사 지미션,"서울특별시 성동구 뚝섬로1길 25, 1301호(성수동1가, 서울숲 한라에코밸리) 1301호",유선 통신장비 제조업,통신장비
주식회사 지엘아이엔씨,"서울특별시 성동구 성수일로10길 14, 312호 (성수동2가)",안경 및 안경렌즈 제조업,안경 및 안경렌즈
주식회사 지오소프트,"서울특별시 성동구 동일로 83, 301호 (성수동2가, 삼보약국)",방송장비 제조업 외 1 종,"영상감시장치, 교통신호장치"
주식회사 캡시스,"서울특별시 성동구 성수일로 77, 716호 (성수동1가, 서울숲IT밸리)",배전반 및 전기 자동제어반 제조업,터널조명컨트롤러
주식회사 케이엔피이노텍,"서울특별시 성동구 아차산로 144, 우영테크노센터 403호 (성수동2가)",일반용 전기 조명장치 제조업,LED 조명기기
주식회사 코드스테리,서울특별시 성동구 왕십리로 222 (사근동) 한양대학교 b 108-4호,분사기 및 소화기 제조업,플라크린(방역용 소독기)
주식회사 클레,"서울특별시 성동구 왕십리로 58, 514호(성수동1가, FORHU) 514호",컴퓨터 제조업,컴퓨터(자동자료처리기계)
주식회사 타디스테크놀로지,"서울특별시 성동구 성수일로 10, 709호(성수동1가, 서울숲 ITCT 지식산업센터) 709호",자동차용 신품 전기장치 제조업,전기자동차 충전기
주식회사 타무즈인터내셔널,"서울특별시 성동구 연무장5가길 7, W동 607호, 608호 (성수동2가, 성수역 현대테라스타워) W동 607호, 608호",기억장치 제조업 외 1 종,"SSD, 데스크톱 컴퓨터"
주식회사 태영트윈클,"서울특별시 성동구 성수이로 51, 한라시그마밸리 B204~B206,B210,B212 (성수동2가)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,버클및 기차악세사리
주식회사 텐스퀘어,"서울특별시 성동구 뚝섬로1길 31, 서울숲 M타워 1106~1107호 (성수동1가)",전시 및 광고용 조명장치 제조업,안내전광판
주식회사 티팩토리,"서울특별시 성동구 성수일로8길 5, A동 807-809호(성수동2가, 서울숲 SK V1 TOWER) A동 807-809호","전기회로 개폐, 보호장치 제조업 외 2 종",서지보호기 외
주식회사 파킹패스,"서울특별시 성동구 성수이로 66, 9층 901 (성수동2가, 서울숲드림타워)",교통 신호장치 제조업,교통신호장치 제조업
주식회사 포스알앤디,"서울특별시 성동구 아차산로15길 52, 7층 702 (성수동2가, 삼환 디지털 벤처타워)",일반용 전기 조명장치 제조업 외 7 종,"조명장치, 교통신호장치"
주식회사 포승,서울특별시 성동구 성수동2가 257-4번지 외 1필지,경 인쇄업,상업용인쇄물(스티커 외)
주식회사 포이엔,서울특별시 성동구 성수동2가 성수이로 144-29 서울제일인쇄공업사업협동조합 제1층 제101호,혼성 및 재생 플라스틱 소재 물질 제조업,플라스틱 M/B
주식회사 프로토스,"서울특별시 성동구 성수이로 51, B2층 201호, 209호 (성수동2가, 서울숲 한라시그마밸리)",기타 운동 및 경기용구 제조업 외 2 종,"수면안대, 요가용품"
주식회사 플라이쿱,"서울특별시 성동구 동일로 287, 플라이쿱빌딩 지하1층 (송정동)",자수제품 및 자수용재료 제조업 외 21 종,자수제품 및 자수용재료
주식회사 피나클비엔에이,서울특별시 성동구 광나루로4가길 3 (성수동2가),"근무복, 작업복 및 유사의복 제조업 외 17 종","근무복, 작업복, 유사의복"
주식회사 하늘선,"서울특별시 성동구 아차산로15길 52, 501호(성수동2가, 삼환디지털벤처타워) 501호",기타 가정용 전기기기 제조업,공기청정기 부품 및 완제품
주식회사 하이티에스,"서울특별시 성동구 자동차시장1길 47, 지하1층, 1층 (용답동)",전시용 모형 제조업 외 1 종,교시형 모형
주식회사 한통물산,"서울특별시 성동구 성수일로12길 27 (성수동2가, (주)창미)",기타 직물제품 제조업 외 5 종,의복 봉제
주식회사 핫시즈너,,떡류 제조업 외 2 종,"가래떡, 닭발, 분말스프"
주식회사 해명,"서울특별시 성동구 성수일로12길 1, 2층 (성수동2가)",전시용 모형 제조업,"건축모형, 전시모형"
주식회사디앤씨툴,"서울특별시 성동구 동일로 227 (송정동, 흰돌교회)",유압기기 제조업 외 6 종,"공구, 콤프레샤"
주식회사유니클,"서울특별시 성동구 연무장17길 14, 6층 602 (성수동2가, 대군인더스 타운) 6층 602호",주방용 전기기기 제조업 외 2 종,가정용음식물처리기
주영옵티칼스크린(주),서울특별시 성동구 연무장길 93 (성수동2가),비디오 및 기타 영상기기 제조업 외 2 종,스크린
주영펌프공업앤이엔지 주식회사,서울특별시 성동구 둘레19길 4 (성수동2가),액체 펌프 제조업,펌프
주유자동기,서울특별시 성동구 상원길 50-15 (성수동1가),산업용 냉장 및 냉동 장비 제조업,라면스프포장기계
주화섬유,"서울특별시 성동구 성덕정길 129-26, 1층 (성수동2가)",솜 및 실 염색가공업,임가공
준성실업(주),서울특별시 성동구 용답중앙13길 11 (용답동),셔츠 및 블라우스 제조업 외 1 종,체육복
준승섬유,서울특별시 성동구 금호로 128-1 (금호동1가),셔츠 및 블라우스 제조업 외 1 종,쉐타
중앙조명,"서울특별시 성동구 마장로 321 (마장동, 시대약국)",일반용 전기 조명장치 제조업 외 1 종,거실등
중일금속,서울특별시 성동구 왕십리로4가길 13 (성수동1가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"열쇄고리,뻐클"
중화섬유,서울특별시 성동구 성수동2가 322-39번지,편조원단 제조업,원단 편조
지성,"서울특별시 성동구 마장로25길 13-1, 4층 (홍익동)",편조원단 제조업,원단편직
지시코(주),"서울특별시 성동구 아차산로 62 (성수동2가, 제일과학산업(주)) (총 2 필지)","물질 검사, 측정 및 분석기구 제조업 외 1 종","실험기계,이화학실험기기"
지아이씨상사,"서울특별시 성동구 광나루로 320-2, 6층 (성수동2가, 용달협회)","근무복, 작업복 및 유사의복 제조업 외 4 종",의류
지영G&G,"서울특별시 성동구 성수이로14길 14, 3층 (성수동2가)",구두류 제조업,여성용구두
진광조명,"서울특별시 성동구 성수이로24길 38, 705호 (성수동2가)",일반용 전기 조명장치 제조업 외 1 종,"거실등,주택등,할로겐"
진봉금속,"서울특별시 성동구 성수일로8길 30, 1층 (성수동2가)",도금업,"훈장, 넉타이핀"
진성전기@,"서울특별시 성동구 성수이로 144-46 (성수동2가, 한라공조써비스한미사)",변압기 제조업 외 3 종,전기제품
진성정밀기기사,"서울특별시 성동구 성수이로 126 (성수동2가, 부영상사)","물질 검사, 측정 및 분석기구 제조업",시험기기
진성칼라,서울특별시 성동구 연무장5가길 11 (성수동2가),기타 인쇄업 외 1 종,인쇄물
진영정밀,서울특별시 성동구 왕십리로14길 10 (성수동1가),볼트 및 너트류 제조업 외 4 종,선풍기 및 환풍기 회전축
진영제화(주),서울특별시 성동구 성수일로12길 26 (성수동2가),구두류 제조업,구두
진영지업(주),서울특별시 성동구 성수이로24길 37 (성수동2가),문구용 종이제품 제조업,복사지 제조
진우디씨(주),"서울특별시 성동구 광나루로8길 11 (성수동2가, 현대공업사)",그 외 기타 특수목적용 기계 제조업 외 1 종,"전기밥솥부품, 가스보일러부품"
진원,"서울특별시 성동구 성수이로14길 14 (성수동2가, (주)대경케미칼)",구두류 제조업,구두
진일로라,"서울특별시 성동구 아차산로11길 12 (성수동2가, 진일빌딩)",구름베어링 제조업,고무로라
진일패키징,"서울특별시 성동구 성수이로22길 43, 1층 (성수동2가, 성수동 아파트형 공장)",판지 상자 및 용기 제조업,판지상자 및 포장용기 
진흥지기공업사,서울특별시 성동구 왕십리로6길 4-8 (성수동1가),판지 상자 및 용기 제조업 외 1 종,"종이박스,포대"
참피온전자,서울특별시 성동구 상원길 49 (성수동1가),그 외 기타 전자부품 제조업 외 1 종,전기전자 콘트롤
창생사,"서울특별시 성동구 성수이로24길 38, 301호 (성수동2가)",그 외 기타 의료용 기기 제조업,성기동맥혈류춘전기
창신정밀공업사,서울특별시 성동구 성수이로12길 2 (성수동2가),일반철물 제조업 외 1 종,"일반철물, 주형및 금형"
창우산업(주),서울특별시 성동구 성수일로4길 25 (성수동2가),모피제품 제조업 외 2 종,원단세탁임가공
창현섬유,서울특별시 성동구 연무장13길 3 (성수동2가),편조원단 제조업,원단
천일파이프(주),서울특별시 성동구 뚝섬로4길 20 (성수동1가),일반용 전기 조명장치 제조업,조명용파이프
청강인터네셔널,"서울특별시 성동구 아차산로 179, 지하 (성수동2가)",구두류 제조업 외 2 종,"구두,가방, 기타신발"
청도인쇄@,"서울특별시 성동구 성수이로 144-46 (성수동2가, 한라공조써비스한미사)",기타 인쇄업 외 1 종,인쇄
청립전자,"서울특별시 성동구 성수이로22길 37 (성수동2가, 성수동 아크밸리)",전자축전기 제조업,"콘덴서(형광등,꼬마전구)"
청솔문화인쇄,"서울특별시 성동구 연무장19길 12 (성수동2가, 2동)",기타 인쇄업 외 1 종,의류박스 인쇄
청원정밀,서울특별시 성동구 아차산로13길 2 (성수동2가),사무용 기계 및 장비 제조업,복사기 부품
청화하이테크(주),서울특별시 성동구 왕십리로 58 (성수동1가) FORHU 서울숲포휴동 B3층 309호,유선 통신장비 제조업 외 4 종,방송장비
추계전자통신(주)@,"서울특별시 성동구 성수이로 144-46 (성수동2가, 한라공조써비스한미사)","전자코일, 변성기 및 기타 전자 유도자 제조업",전자코일
케이아트,"서울특별시 성동구 성수일로10길 26, 13층 1301~1304호 (성수동2가)",가방 및 기타 보호용 케이스 제조업 외 2 종,앨범
케이알프렌트,서울특별시 성동구 왕십리로16가길 26-4 (성수동1가),수동식 식품 가공기기 및 금속 주방용기 제조업,산업탱크류
케이에스 전기조명,"서울특별시 성동구 성수일로 39-41, 3층 (성수동1가, 마루동신)",일반용 전기 조명장치 제조업 외 2 종,전기 조명
케이에스엔바이로(주),"서울특별시 성동구 성수일로 55, 402호 (성수동1가)",액체 여과기 제조업 외 3 종,여과기
케이투코리아(주),서울특별시 성동구 아차산로11가길 3 (성수동2가),기타 신발 제조업 외 5 종,"등산화,안전화"
코레버출판인쇄(주),"서울특별시 성동구 연무장5가길 25, B2층 B201~B205호 (성수동2가, 성수역 SK V1 Tower) B2층 B201~B205호",오프셋 인쇄업 외 2 종,"교과서 등 각종 인쇄물, 교과서 등 각종 인쇄물, 교과서 등 각종 인쇄물"
코리아임팩스트레이딩(주),"서울특별시 성동구 아차산로17길 57, 11층 1104 (성수동2가, 일신건영휴먼테코)","근무복, 작업복 및 유사의복 제조업 외 2 종",근무복
코마텍,서울특별시 성동구 행당동 40-30번지,기체 펌프 및 압축기 제조업 외 2 종,"로타리밸부,메터링휘더"
코비코휴즈,"서울특별시 성동구 아차산로11길 27, 윈스타워 403 (성수동2가)","전기회로 개폐, 보호장치 제조업 외 1 종",휴즈 및 전자부품
코스모스전자,"서울특별시 성동구 성수이로22길 37 (성수동2가, 성수동 아크밸리)","전자기 측정, 시험 및 분석기구 제조업",측정기
코아쥬얼리(주),"서울특별시 성동구 아차산로 144, 201호 (성수동2가)",귀금속 및 관련제품 제조업,"반지,목걸이,팔찌"
코키스,"서울특별시 성동구 아차산로17길 57, 휴먼테코 801호, B203호 (성수동2가)",수동식 식품 가공기기 및 금속 주방용기 제조업 외 2 종,"주방기구, 위생기구, 소독발판, 운반카류"
크라운인쇄제본,서울특별시 성동구 성수1가제1동 613-2번지,기타 인쇄업 외 1 종,"제본,인쇄"
타임프린팅(주),"서울특별시 성동구 성수이로 144-29, 비층 105 (성수동2가, 서울제일인쇄공업사업협동조합)",기타 인쇄업 외 1 종,인쇄
태광산업,서울특별시 성동구 성수일로6길 47 (성수동2가),"직물, 편조원단 및 의복류 염색 가공업",가발용 부자재
태광종합기획,서울특별시 성동구 뚝섬로15길 16 (성수동2가) 1층,기타 종이 상자 및 용기 제조업 외 3 종,"제약 상자, 화장품 상자"
태성엔시티,"서울특별시 성동구 성수이로 61 (성수동2가, 평화섬유)",구조용 금속 판제품 및 공작물 제조업 외 2 종,철판제품
태양인쇄,"서울특별시 성동구 성수이로 144-29, 102호 (성수동2가)",기타 인쇄업 외 1 종,옵셋인쇄
태원문화인쇄,"서울특별시 성동구 성수이로26길 31 (성수동2가, 태원문화인쇄사)",기타 인쇄관련 산업,비디오인텍스
태진섬유공업사,"서울특별시 성동구 성수이로7가길 13 (성수동2가, 태진섬유)",편조원단 제조업,니트원단
태진씨엔씨,"서울특별시 성동구 성수이로7가길 11 (성수동2가, (주)상현원색)",편조원단 제조업,원단
태창문예인쇄(주),서울특별시 성동구 성수일로10가길 10 (성수동2가),경 인쇄업 외 3 종,인쇄물
태하엔지니어링,서울특별시 성동구 성수일로12길 1 (성수동2가),기타 가공 공작기계 제조업,정량밸브
텐텍 주식회사,서울특별시 성동구 아차산로17길 48 (성수동2가) 1007~1008호,그 외 기타 의료용 기기 제조업,의료용레이저
통인갤러리(주),"서울특별시 성동구 성수일로12길 1, 지하1층 (성수동2가)",기타 인쇄업 외 1 종,칼라인쇄물
트로닉스,"서울특별시 성동구 성수일로4길 25, 7층 710호 (성수동2가)",경 인쇄업 외 1 종,라벨
팔월삼일 주식회사,"서울특별시 성동구 성수일로 89, 905호(성수동1가, Metamorpho(지식산업센터))",가방 및 기타 보호용 케이스 제조업,즉각조치가능 탄피받이
평화기업사,"서울특별시 성동구 성수일로4길 12 (성수동1가, 한라인쇄공사)",세폭직물 제조업,직조라벨
포인트디자인모델,"서울특별시 성동구 성수일로10길 11, 2층 (성수동2가)",전시용 모형 제조업,건축모형
포커스,"서울특별시 성동구 뚝섬로1길 31 (성수동1가, 라동)",간판 및 광고물 제조업,간판
푸른기획,"서울특별시 성동구 성수이로 126, A동 202호 (성수동2가)",간판 및 광고물 제조업,"현수막,배너,상패"
푸른디자인,"서울특별시 성동구 광나루로4가길 15, 1~2충 (성수동2가)",모조 귀금속 및 모조 장신용품 제조업,상업장치물
푸른문화,"서울특별시 성동구 성수일로11길 14 (성수동1가, 남해산업(주))",기타 인쇄업 외 1 종,인쇄물
풍미실업,"서울특별시 성동구 아차산로9길 41, 3층 (성수동2가)",스크린 인쇄업,"인쇄된 양말, T샤쓰"
풍산조명,"서울특별시 성동구 아차산로 49, 코오롱디지털타원3차 B107호 (성수동1가)",전구 및 램프 제조업 외 2 종,"조명기구,전구,광고용램프"
풍진섬유산업사,"서울특별시 성동구 광나루로 253 (송정동, 풍진빌딩)",세폭직물 제조업,원단
프린 서프,"서울특별시 성동구 성수이로 88, 지하1층 (성수동2가)",기타 종이 상자 및 용기 제조업,종이상자
프린스,"서울특별시 성동구 왕십리로21길 27, (2층) (행당동)",남자용 겉옷 제조업 외 1 종,남여정장
프린테크 21,서울특별시 성동구 성수이로 147 (성수동2가),기타 인쇄업 외 1 종,인쇄물
프린테크21,"서울특별시 성동구 아차산로5길 19-1, 외 1필지 (성수동2가)",기타 인쇄업 외 1 종,카다로그
플루미나주식회사,"서울특별시 성동구 아차산로15길 52, 1층 103호 (성수동2가, 삼환 디지텔 벤처타워) 외 1필지",일반용 전기 조명장치 제조업,일반용 조명장치
피.포인트,서울특별시 성동구 성수2가제3동 315-8번지,스크린 인쇄업,섬유인쇄
피.포인트,"서울특별시 성동구 연무장5가길 25 (성수동2가, 타임프린팅(주))",스크린 인쇄업,섬유인쇄
피앤에이솔루션즈,서울특별시 성동구 행당동 17번지 공업센터별관 308호,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",기타측정 시험항해 및 정밀기기제조업
피에스컴퍼니,"서울특별시 성동구 뚝섬로15길 1, 3층 (성수동2가)",핸드백 및 지갑 제조업,"가방,지갑"
피엔피,"서울특별시 성동구 아차산로13길 48 (성수동2가, 쌍용기계공업(주))",기타 인쇄업 외 1 종,인쇄
필립,"서울특별시 성동구 성수이로7길 7, 6층 601,612 (성수동2가)",적층 및 표면처리 직물 제조업 외 2 종,의류부자재
하나기계,서울특별시 성동구 성덕정3길 14 (성수동1가),그 외 기타 특수목적용 기계 제조업 외 1 종,고압세척기
하늘디자인,"서울특별시 성동구 자동차시장1길 42, 302 (용답동)",간판 및 광고물 제조업,간판 및 광고물
하늘정밀,서울특별시 성동구 성수일로1길 11 (성수동1가),볼트 및 너트류 제조업,볼트 및 너트류
하이텍벤쳐(주),서울특별시 성동구 천호대로 312 (용답동),방송장비 제조업 외 4 종,"자동기상관측장비,무인교통감시카메라"
한국 프린팅 팩,"서울특별시 성동구 연무장5가길 25 (성수동2가, 타임프린팅(주))",기타 인쇄업 외 1 종,인쇄
한국고주파,서울특별시 성동구 성수일로12가길 23 (성수동2가),전자 응용 절삭기계 제조업,고주파계기계
한국금화,서울특별시 성동구 성수동2가 269-6번지,솜 및 실 염색가공업,염색가공
한국시네텍(주),"서울특별시 성동구 연무장길 81, 402호 (성수동2가)",방송장비 제조업 외 1 종,"방송기자재,유무선폐쇄회로카메라"
한국영상(주),"서울특별시 성동구 성수일로10길 8, 501호 (성수동2가)",기타 무선 통신장비 제조업 외 7 종,"A/V, MATRX, A/V원격조정기"
한국전진기술(주),"서울특별시 성동구 아차산로15길 52, 102호(성수동2가, 삼환디지털벤처타워) 102호",배전반 및 전기 자동제어반 제조업 외 4 종,자동제어기기 및 자동제어반 제조
한국컴퓨터인쇄정보(주),"서울특별시 성동구 아차산로13길 35 (성수동2가, 신우문화)",기타 인쇄업 외 1 종,"책자,카다록"
한국코스믹라운드(주),"서울특별시 성동구 성수일로 84, 남영아파트형공장 7층 703 (성수동2가)",그 외 기타 전기장비 제조업,살균세정장치
한맥전자(주),"서울특별시 성동구 성수일로 55, 1001호 (성수동1가)",산업처리공정 제어장비 제조업 외 2 종,계측장비(전압전류)
한미사,"서울특별시 성동구 아차산로9길 41 (성수동2가, 으뜸실업공장)","전자기 측정, 시험 및 분석기구 제조업","시험,측정기구"
한보섬유,"서울특별시 성동구 뚝섬로 341 (성수동1가, 창원기계)",편조의복 제조업,임편직
한빛제화,"서울특별시 성동구 성수이로22길 37 (성수동2가, 성수동 아크밸리)",구두류 제조업 외 1 종,"신사,숙녀화"
한샘워터테크,"서울특별시 성동구 성수일로 55, 1006호 (성수동1가)",기체 여과기 제조업 외 2 종,산업용정수장치
한성공업사,서울특별시 성동구 마장로 248-1 (행당동),폴리스티렌 발포 성형제품 제조업 외 1 종,플라스틱 제품
한성리본,서울특별시 성동구 상원10길 8-1 (성수동1가),솜 및 실 염색가공업,염색가공
한솔,"서울특별시 성동구 성수일로4길 10, 1층 (성수동1가, 평화기업사)",떡류 제조업,떡
한솔산업,"서울특별시 성동구 뚝섬로15길 13 (성수동2가, 한성정밀)",구조용 금속 판제품 및 공작물 제조업 외 1 종,스위치박스
한솔코팅,서울특별시 성동구 성수일로10길 21 (성수동2가),"적층, 합성 및 특수표면처리 종이 제조업",인쇄원지코팅
한솔피엔에스 주식회사,"서울특별시 성동구 아차산로5길 24-28 (성수동2가, 성진데칼(주))",기타 인쇄업 외 1 종,상업인쇄
한양식품,서울특별시 성동구 성덕정길 103-39 (성수동2가),두부 및 유사식품 제조업,두부
한양인더스트리,"서울특별시 성동구 연무장18길 4, 1층 (성수동2가)",인쇄 및 제책용 기계 제조업,인쇄
한양전자산업(주),"서울특별시 성동구 성수이로20길 49 (성수동2가, 한양전자산업(주))",그 외 기타 전기장비 제조업 외 5 종,"무선마이크,동시통역장비"
한올,"서울특별시 성동구 성수일로12길 27, A동2 지층(성수동2가, (주)창미)",속옷 및 잠옷 제조업 외 1 종,의류
한원소웨이,"서울특별시 성동구 성수일로10길 13-10 (성수동2가, 한원상사)","기타 섬유, 의복 및 가죽 가공 기계 제조업 외 1 종","IR염색기,인장강도시험기,견뢰도시험기 외"
한일수출진흥(주),서울특별시 성동구 아차산로17길 4 (성수동2가),표구처리업 외 1 종,족자(수출용)
한일전자공업사,서울특별시 성동구 아차산로11가길 6 (성수동2가),운송장비 조립용 플라스틱제품 제조업 외 1 종,변압기용 보빈(coil form)
한일피복공업(주),"서울특별시 성동구 왕십리로4길 5 (성수동1가, 한일피복공업(주))",남자용 겉옷 제조업 외 16 종,"침구류,피복,가방"
한진전기기업사,서울특별시 성동구 성수이로26길 11 (성수동2가),배전반 및 전기 자동제어반 제조업,"전기배선, 배전용(기기용)전기회"
한진패션산업(주),서울특별시 성동구 청계천로10가길 78 (마장동),셔츠 및 블라우스 제조업 외 3 종,근무복
합동공작소,서울특별시 성동구 마장로33길 81 (마장동),기어 및 동력전달장치 제조업,"무단변속기,체인"
해성도금,서울특별시 성동구 연무장길 93 (성수동2가),도금업 외 1 종,도장업
해성섬유공업사,서울특별시 성동구 연무장3길 9 (성수동2가),자수제품 및 자수용재료 제조업 외 1 종,자수직물
행성식품,"서울특별시 성동구 성수이로16길 21 (성수동2가, 샛별어린이집)",빵류 제조업,빵
현대스텐레스산업(주),서울특별시 성동구 성수일로8길 22 (성수동2가),일반철물 제조업,"철가공,과학기기,오락기"
현대인쇄(주),서울특별시 성동구 상원12길 36 (성수동1가),기타 인쇄업 외 1 종,인쇄
현대종합기계,서울특별시 성동구 성수일로12가길 17 (성수동2가),수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,업소용 주방기구
현대특수기업(주),서울특별시 성동구 성수이로12길 15 (성수동2가),가방 및 기타 보호용 케이스 제조업 외 1 종,비닐케이스(통장카바)
현진,"서울특별시 성동구 둘레길 37 (성수동1가, 유전기업)",그 외 기타 의복액세서리 제조업 외 5 종,의류부자재 휘장장식
협성기업사,"서울특별시 성동구 성수이로 65, 149호 (성수동2가)",분사기 및 소화기 제조업,스프레이건
협성기업사,"서울특별시 성동구 성수이로 65, 지하1층1호 (성수동2가)",분사기 및 소화기 제조업 외 1 종,스프레이건
형제아트(주),"서울특별시 성동구 연무장길 73, 1층 (성수동2가)",제책업,출판물(탣)
형제전기기업사,서울특별시 성동구 광나루로 218-10 (성수동2가),기타 전기 변환장치 제조업 외 1 종,충전기 제작
화도물산(주),"서울특별시 성동구 뚝섬로1가길 2 (성수동1가, (주)화도물산)",기타 편조의복 액세서리 제조업,자동차시트
화신문화(주),"서울특별시 성동구 성덕정길 59-6 (성수동1가, 화신문화(주)사옥)",기타 인쇄업 외 3 종,각종 인쇄물
효성중부엔지니어링(주),"서울특별시 성동구 성수이로24길 38, 506호 (성수동2가)",액체 펌프 제조업,"펌프,모터 판넬조립"
휘앙세,"서울특별시 성동구 연무장17길 7, 2층 (성수동2가)",구두류 제조업,숙녀화
히스전자산업(주)@,"서울특별시 성동구 성수이로22길 37 (성수동2가, 성수동 아크밸리)",디지털 적층 성형기계 제조업 외 1 종,성형기
