회사명,공장대표주소,업종명,생산품
와이에스아이(Y.S.I),"서울특별시 성동구 성수일로12길 1, 3층 (성수동2가)","직물, 편조원단 및 의복류 염색 가공업 외 1 종",의류프린트
와이엔케이텍(주),서울특별시 성동구 왕십리로16가길 30-12 (성수동1가),액체 펌프 제조업 외 3 종,펌프
외향산업(주),서울특별시 성동구 성수이로18길 36 (성수동2가),기타 인쇄업 외 1 종,은행서식
용성공업(주),"서울특별시 성동구 성수이로7가길 3 (성수동2가, (주)용성산업)",구조용 금속 판제품 및 공작물 제조업 외 5 종,"인버터,칩마운트,배전암 외"
우경기업,"서울특별시 성동구 뚝섬로1길 31 (성수동1가, 라동)",그 외 기타 일반목적용 기계 제조업 외 1 종,PIV변속기
우성아트팩,"서울특별시 성동구 성수일로8길 21 (성수동2가, 흥전기업)",골판지 제조업 외 2 종,박스
우성화확,"서울특별시 성동구 광나루로6길 20 (성수동2가, 이-글타운아파트형공장)",그 외 기타 플라스틱 제품 제조업,문구용가위손잡이
우신상사,"서울특별시 성동구 성수이로14길 14 (성수동2가, (주)대경케미칼)",구두류 제조업,여성용 구두
우일산전(주),"서울특별시 성동구 연무장13길 19 (성수동2가, 성도빌딩)",배전반 및 전기 자동제어반 제조업,전기배전반
우정리테일,서울특별시 성동구 아차산로 103 (성수동2가),그 외 기타 플라스틱 제품 제조업,케익장식판
우주금속,서울특별시 성동구 상원6길 13 (성수동1가),도금업 외 1 종,악세사리
우주기계,서울특별시 성동구 둘레3길 17 (성수동1가),기타 가공 공작기계 제조업,고압세척기
우지정밀,"서울특별시 성동구 아차산로 85 (성수동2가, 덕진빌딩)",주형 및 금형 제조업,금형
우진물산,"서울특별시 성동구 성수이로14길 14 (성수동2가, (주)대경케미칼)",남자용 겉옷 제조업,남성기성복
우진전기,"서울특별시 성동구 뚝섬로3길 28 (성수동1가, 우진전기 성수제2공장)",그 외 기타 전기장비 제조업,전기용품
울산병영용사촌,"서울특별시 성동구 아차산로 15 (성수동1가, UBY)",배전반 및 전기 자동제어반 제조업,배전반
원준기획,"서울특별시 성동구 아차산로5길 10, 지영동 2층 201호 (성수동2가, 지영프라자)",구두류 제조업,여성화
원진앤지협동조합,"서울특별시 성동구 연무장5가길 25, B212호(성수동2가, 성수역 SK V1 Tower) B212호",남자용 겉옷 제조업 외 7 종,"교복, 단체복, 작업복 및 근무복, 점퍼, 구명조끼, "
원창금속,서울특별시 성동구 성수일로12가길 22 (성수동2가),기타 인쇄업 외 2 종,알리미늄뱃지
원평산업(주),"서울특별시 성동구 연무장길 73 (성수동2가, 원평산업(주))",침구 및 관련제품 제조업 외 4 종,"군대천막,군배낭,군의류대"
월계수테일러,"서울특별시 성동구 왕십리로21길 9, 5층 (행당동)",남자용 겉옷 제조업 외 1 종,의류
웨이브티피에스,서울특별시 성동구 성수이로22길 27 (성수동2가),경 인쇄업 외 1 종,상업용인쇄물(스티커 외)
윈마크(주),"서울특별시 성동구 아차산로 144, 401호 (성수동2가)",여자용 겉옷 제조업,"여성용정장,쟈켓,스커트"
윌전기공업(주),"서울특별시 성동구 아차산로 144, 304호 (성수동2가)",배전반 및 전기 자동제어반 제조업 외 2 종,접지검출설비
유기샘,"서울특별시 성동구 독서당로62가길 29-50, 1층 (응봉동)",기타 곡물 가공품 제조업,견과류가공품
유니버살텔레콤(주),"서울특별시 성동구 천호대로 438 (용답동, 유선빌딩)",방송장비 제조업 외 1 종,방송중계기
유니온칼라시스템,서울특별시 성동구 성수일로3길 15 (성수동1가),경 인쇄업 외 1 종,진단시약용칼라차트
유니트론 주식회사,"서울특별시 성동구 왕십리로 222, 한양종합기술연구원 B114-3호 (사근동)",기타 무선 통신장비 제조업,이동통신시스템
유로아이티에스(주),"서울특별시 성동구 아차산로 144, 우영테크노센터 306호 (성수동2가)",기타 구조용 금속제품 제조업 외 7 종,"자전거보대, 주차관제시스템"
유봉실업(주),서울특별시 성동구 뚝섬로3나길 22 (성수동1가),판지 상자 및 용기 제조업 외 1 종,"종이박스,인쇄"
유성전기금속(주),"서울특별시 성동구 성수일로 47 (성수동1가, 정주정밀)",전구 및 램프 제조업,전구
