순번,회사명,공장대표주소(도로명),업종명,생산품
174,로고스,서울특별시 중랑구 면목제7동 578-29번지,자수제품 및 자수용재료 제조업 외 1 종,"섬유,기계자수"
175,루틱스,"서울특별시 중랑구 용마산로118길 23, 2층 (망우동)",체외 진단 시약 제조업 외 1 종,외과용품 루용낭
176,리라어패럴,"서울특별시 중랑구 겸재로29길 78, 지층 (면목동)","근무복, 작업복 및 유사의복 제조업 외 5 종",의류
177,링크엔지니어링,"서울특별시 중랑구 동일로 514 (면목동, 동이빌딩)",전시용 모형 제조업,"기념관용모형,기계장비모형"
178,마니아,"서울특별시 중랑구 중랑천로 50, 지층(면목동)","근무복, 작업복 및 유사의복 제조업",단체복(점퍼)
179,마루상사,"서울특별시 중랑구 중랑천로10길 40 (면목동, 뉴새소미어린이집)",기타 전기 변환장치 제조업 외 1 종,안정기
180,마스코트스테이지,"서울특별시 중랑구 용마산로51길 1, 한일빌딩 3층 (면목동)",인형 및 장난감 제조업,"인형탈, 탈인형"
181,매일상사,서울특별시 중랑구 신내로12길 36 (신내동),스타킹 및 기타 양말 제조업,양말
182,모던조이,"서울특별시 중랑구 면목로95길 12, 지층 (상봉동)",가방 및 기타 보호용 케이스 제조업,가방
183,모던조이,"서울특별시 중랑구 봉화산로 83, 2층 (중화동)",가방 및 기타 보호용 케이스 제조업 외 2 종,가방제조
184,무궁화보훈복지주식회사,"서울특별시 중랑구 용마산로118길 80 (망우동, 아성체육관)","근무복, 작업복 및 유사의복 제조업 외 2 종","군복,작업복,방한복 외"
185,미래정보기술,서울특별시 중랑구 사가정로46길 90 (면목동),전시 및 광고용 조명장치 제조업,전광판
186,미성어패럴,"서울특별시 중랑구 동일로 617, 지층 (면목동)",셔츠 및 블라우스 제조업 외 9 종,"자켓,조끼,셔츠,앞치마,카라티"
187,미주실업,"서울특별시 중랑구 봉화산로 123, 신내테크노타운 603호 (상봉동)",표면광택제 및 실내가향제 제조업 외 1 종,"방향제,손세정용거품비누 등"
188,반석,"서울특별시 중랑구 상봉로 59, 3.4층 (면목동)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
189,백경 인터네쇼날,"서울특별시 중랑구 면목로55길 57, 2층 (면목동)",남자용 겉옷 제조업 외 4 종,"유니폼,기성복,작업복"
190,뱅크어패럴,"서울특별시 중랑구 망우로68길 5, 2층 (망우동)",셔츠 및 블라우스 제조업 외 3 종,"단체복,근무복"
191,복음미디어,"서울특별시 중랑구 양원역로 25-2, 지층 (망우동)",기타 음향기기 제조업,"앰프, 스피커"
192,브랜뉴와치,"서울특별시 중랑구 신내역로 111, A동 104호(신내동) A동 104호",시계 및 시계부품 제조업,"손목시계, 탁상시계"
193,블레스컴퍼니 주식회사,서울특별시 중랑구 신내역로3길 40-36 (신내동) B동 지상11층 B-1104호,시계 및 시계부품 제조업,일반 시계
194,쁘띠팬시,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) B동 B2층 FB214호",사무 및 회화용품 제조업,스티커
195,사단법인 해오름장애인협회,"서울특별시 중랑구 신내역로3길 40-36, A-609호(신내동) A-609호 외 1필지",방송장비 제조업 외 5 종,"CCTV, 방송장비"
196,사회복지법인 다운회 아름다운,"서울특별시 중랑구 망우로55길 25, 지층(우) (상봉동)",기타 과실ㆍ채소 가공 및 저장 처리업,과실원액/음료
197,삼광,"서울특별시 중랑구 면목로 373, 2층(면목동)",침구 및 관련제품 제조업 외 13 종,"의류,자켓,바지,내의,모자,가방 등"
198,삼덕안전기구공사,서울특별시 중랑구 면목로56길 32 (면목동),"근무복, 작업복 및 유사의복 제조업 외 15 종",소방안전관련제품
199,삼보 I.N.T,"서울특별시 중랑구 중랑천로 63, 지하 (면목동)",핸드백 및 지갑 제조업 외 1 종,"판촉물,여권케이스"
200,삼성물산,서울특별시 중랑구 동일로118길 35 (상봉동),가죽의복 제조업,"가죽의류,모피"
201,삼진전자,"서울특별시 중랑구 망우로 488 (망우동, 대한낚시마트)",그 외 기타 전자부품 제조업 외 1 종,"전기계기,정밀측정기"
202,삼진제모 주식회사,"서울특별시 중랑구 동일로114길 10, 지층 (상봉동)",모자 제조업,모자
203,삼호자수,서울특별시 중랑구 중랑천로 31 (면목동),자수제품 및 자수용재료 제조업 외 1 종,의류 및 골프용품
204,상도어패럴,"서울특별시 중랑구 용마산로 372, 2층 (면목동, 대성공업사)",남자용 겉옷 제조업 외 11 종,"의류,장갑,가방"
205,새론앞길,"서울특별시 중랑구 신내역로 111, 1012호(신내동, 신내 SK V1 center) 1012호",기타 인쇄업,도서 인쇄물
206,새암기업,서울특별시 중랑구 신내역로3길 40-36 (신내동) A동 8층 818호,간판 및 광고물 제조업,옥·내외 광고물
207,샬롬어패럴,서울특별시 중랑구 망우제2동 508-18번지,셔츠 및 블라우스 제조업 외 1 종,셔츠및체육복
208,서울유리,서울특별시 중랑구 용마산로136길 54 (망우동),안전유리 제조업 외 1 종,복층유리
209,서울패션,"서울특별시 중랑구 양원역로 22-1, 2층(망우동)",셔츠 및 블라우스 제조업 외 4 종,"운동복, 작업복 및 정복, 점퍼"
210,선경어페럴,"서울특별시 중랑구 동일로121길 16, 2층(중화동, 동진빌딩)",침구 및 관련제품 제조업 외 18 종,"가방, 벨트의류, 자켓, 바지, 내의, 모자"
211,성도일렉트로닉스,서울특별시 중랑구 신내역로3길 40-36 (신내동) B동 3층 308호,기타 무선 통신장비 제조업,"전기, 전자부품"
212,성동산업,서울특별시 중랑구 면목로45길 61 (면목동),가방 및 기타 보호용 케이스 제조업,가방
213,성동전자공업사,"서울특별시 중랑구 동일로 514 (면목동, 동이빌딩)",기타 음향기기 제조업,전자부품
214,성력기계제작소,서울특별시 중랑구 망우로 166-11 (상봉동),기타 가공 공작기계 제조업,환평기
215,성은실업,"서울특별시 중랑구 면목로27길 6, B101(면목동, 대진빌딩)",남자용 겉옷 제조업 외 14 종,"의류, 가방, 벨트, 자켓, 내의, 모자"
216,성일화학,서울특별시 중랑구 면목동 596-33번지,합성수지 및 기타 플라스틱 물질 제조업,보온테이프
217,성준테크 주식회사,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 5층 520호 외 1필지",고무패킹류 제조업 외 2 종,"고무제품, 실리콘제품, 절삭가공"
218,성진전자통신,"서울특별시 중랑구 용마산로 252, 현대상가 401,404,405(면목동, 면목현대아파트)",유선 통신장비 제조업 외 1 종,"통신용보안기, 전기회로장치"
219,세신섬유,"서울특별시 중랑구 겸재로 199, 5층 (면목동, 태영빌딩)","근무복, 작업복 및 유사의복 제조업 외 12 종",의류
220,세영산업,"서울특별시 중랑구 동일로130길 43 (중화동, 다훈독서실)",그 외 기타 종이 및 판지 제품 제조업,종이.판지
221,세정,"서울특별시 중랑구 봉우재로 228 (망우동, 봉은빌딩)","근무복, 작업복 및 유사의복 제조업 외 10 종",의류
222,세화자수,"서울특별시 중랑구 망우로67가길 19, 2층,3층 (망우동)",자수제품 및 자수용재료 제조업 외 4 종,자수
223,소방앤안전기술협동조합,"서울특별시 중랑구 면목로76길 44, 지층 (면목동)",교통 신호장치 제조업 외 1 종,"전자호루라기,시청각화재경보기"
224,송림코리아,서울특별시 중랑구 면목로92가길 19 (상봉동),"근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠
225,순금실업,"서울특별시 중랑구 상봉로 32, 1층 (면목동)",간판 및 광고물 제조업 외 1 종,간판
226,슈테른,"서울특별시 중랑구 면목로72길 20, 지하 1층 2호 (면목동)",일반용 도료 및 관련제품 제조업 외 1 종,디아만테
227,스페이스,"서울특별시 중랑구 용마공원로 5, 지층(망우동, 호키태권도)",기타 직물제품 제조업 외 1 종,구명의
228,승건산업(주),"서울특별시 중랑구 신내역로 111, A동 418호(신내동)",그 외 기타 금속가공업 외 1 종,"집수정청소삽, 길이조절창문물받이, 투명차수판, 사각라운딩보도틀, 암거악취방치판"
229,승일정밀자동화,"서울특별시 중랑구 면목로30가길 37 (면목동, 승일정밀)","기타 섬유, 의복 및 가죽 가공 기계 제조업",재봉자동화기기
230,시노디아,"서울특별시 중랑구 동일로154길 14, 1층 (묵동)",기타 목재가구 제조업,원목가구
231,시에스베리아(주),"서울특별시 중랑구 상봉로 61 (면목동, 한양빌딩)",그 외 기타 의료용 기기 제조업,의료 보조용구
232,신광섬유종합(주),서울특별시 중랑구 동일로100길 70 (면목동),"근무복, 작업복 및 유사의복 제조업 외 11 종","기성복,캔버스제품,침구및관련제품(침낭),가방"
233,신세계앨범,"서울특별시 중랑구 용마산로 448 (망우동, 까치유치원)",문구용 종이제품 제조업,"앨범,문구류"
234,신승기업,서울특별시 중랑구 신내역로3길 40-36 (신내동) A동 3층 310호,기타 조명장치 제조업,LED램프
235,신아무역,서울특별시 중랑구 면목로55길 55 (면목동),가죽의복 제조업 외 3 종,의류
236,신영정공,서울특별시 중랑구 망우로55길 24 (상봉동),"기타 섬유, 의복 및 가죽 가공 기계 제조업",환편기부품외
237,신우&SEA,"서울특별시 중랑구 면목로49길 36, 지하 (면목동)",모자 제조업 외 7 종,"장갑,가방,의류,모자,조끼"
238,신창상사,"서울특별시 중랑구 동일로92길 57 (면목동, 등대교회)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
239,신화지퍼,서울특별시 중랑구 동일로92길 25 (면목동),단추 및 유사 파스너 제조업,지퍼
240,씨나인,"서울특별시 중랑구 신내역로 111, A동 512호(신내동) A동 512호",간판 및 광고물 제조업,"광고물, 현수막, 간판 외"
241,씨알패션,"서울특별시 중랑구 망우로 181, 2층 (중화동)",가죽의복 제조업 외 5 종,가죽의류 및 무스탕
242,씨앤로컴퍼니,"서울특별시 중랑구 면목로72길 20, 지층 1호 (면목동)",표면광택제 및 실내가향제 제조업 외 1 종,나노클린화이트
243,씽씽,"서울특별시 중랑구 겸재로9길 12, 1층 (면목동, 금강빌딩)",침구 및 관련제품 제조업 외 10 종,"의류,자킷,바지,내의"
244,아마존,"서울특별시 중랑구 동일로154길 20, 지층 (묵동)","근무복, 작업복 및 유사의복 제조업 외 10 종",의류임가공
245,아산모드 주식회사,"서울특별시 중랑구 동일로109길 90, 4층 (면목동, 대명빌딩)",핸드백 및 지갑 제조업 외 1 종,"지갑, 가죽장갑, 벨트 외"
246,아세아시스템,서울특별시 중랑구 면목동 653-24번지,기타 목재가구 제조업,가정용가구
247,아우디보청기(주),"서울특별시 중랑구 동일로 824, 신성빌딩 5층 (중화동)",치과기공물 제조업 외 2 종,보청기
248,아트윈,서울특별시 중랑구 상봉제1동 18-1번지 나동,"천막, 텐트 및 유사 제품 제조업 외 1 종","차양막,스크린,버티칼"
249,야베스머천다이즈,"서울특별시 중랑구 송림길 100, 1층 (망우동)",침구 및 관련제품 제조업 외 17 종,"의류, 침구류, 배낭,가방, 벨트, 침낭, 귀덮개, 천막, 마스크, 유포, 퀼팅원단, 망사포대"
250,에셀자수,"서울특별시 중랑구 봉우재로 91, 3층 (상봉동)",자수제품 및 자수용재료 제조업 외 2 종,자수
251,에스에스브이,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) B동 3층 323호",방송장비 제조업 외 1 종,cctv
252,에스티씨,"서울특별시 중랑구 동일로144길 23, 지층(묵동, 은성목욕탕)","근무복, 작업복 및 유사의복 제조업 외 5 종",봉제의복
253,에이스 프린트,"서울특별시 중랑구 용마산로 443, 2층 (망우동)",날염 가공업,티셔츠
254,에프엔씨,"서울특별시 중랑구 봉우재로 197-1, 201호 (망우동)","근무복, 작업복 및 유사의복 제조업",근무복
255,엘리온,"서울특별시 중랑구 신내역로 111, (신내동, 신내 SK V1 center) B동 3층 330호",남자용 겉옷 제조업 외 8 종,"남자용 겉옷, 여자용 겉옷, 근무복, 작업복(유니폼), 셔츠 및 블라우스, 기타 봉제의복, 모자, 유아용 의복, 스타킹 및 양말, 기타 의복액세서리"
256,엠티에프어패럴(주),"서울특별시 중랑구 봉화산로 123, 804호(상봉동, 신내테크노타운) 804호","근무복, 작업복 및 유사의복 제조업 외 7 종","정복, 근무복, 작업복, 니트, 우의"
257,엠피스,"서울특별시 중랑구 동일로 762, 2층 (중화동)",그 외 기타 의료용 기기 제조업,의료기기
258,연빛상사,"서울특별시 중랑구 봉우재로 195, 205호, 207호(망우동, 창원빌딩)",셔츠 및 블라우스 제조업 외 4 종,"그외 기타 봉제의복, 근무복, 작업복, 셔츠, 블라우스, 남자용 겉옷, 여자용 겉옷"
259,연흥섬유,"서울특별시 중랑구 면목로 373, 우정빌딩 3층 (면목동)",편조의복 제조업,"니트, 골프의류"
260,영애드,"서울특별시 중랑구 동일로140길 16, 1층 (중화동)",간판 및 광고물 제조업,간판
261,영화산업,서울특별시 중랑구 동일로139길 68 (중화동),"근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠
262,예성기획,서울특별시 중랑구 공릉로 66 (묵동),간판 및 광고물 제조업,광고물
263,예에스,"서울특별시 중랑구 동일로 766 (중화동, 세화빌딩)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
264,오성광고,서울특별시 중랑구 봉우재로 111 (상봉동),간판 및 광고물 제조업 외 1 종,간판
265,오성광고디자인,"서울특별시 중랑구 봉우재로 133, 1층(상봉동)",간판 및 광고물 제조업,"실사출력물, 간판, 각종 옥내외 광고물"
266,온라인인쇄,"서울특별시 중랑구 면목로63길 22, 지층 (면목동)",경 인쇄업 외 2 종,인쇄물
267,우리기업,서울특별시 중랑구 용마산로118길 124 (망우동),"플라스틱 포대, 봉투 및 유사제품 제조업 외 7 종",비닐제품가공
268,우리사,서울특별시 중랑구 동일로123나길 8 (중화동),제책업,그림책
269,우성산업,서울특별시 중랑구 중랑역로3나길 51 (중화동),가방 및 기타 보호용 케이스 제조업 외 4 종,"가방,핸드백,지갑외"
270,우성피복,"서울특별시 중랑구 겸재로28길 48 (면목동, 대명카센타)","근무복, 작업복 및 유사의복 제조업 외 3 종","군복,경찰복,소방복"
271,우장산레인보우,"서울특별시 중랑구 봉우재로 214, (지층) (망우동)",그 외 기타 봉제의복 제조업 외 1 종,"우의,의류"
272,우주상사,"서울특별시 중랑구 동일로 582 (면목동, 충효메디칼교역)",그 외 기타 의료용 기기 제조업,전기수술기
273,우진실업,"서울특별시 중랑구 면목로 283, 3층 (면목동)",셔츠 및 블라우스 제조업 외 3 종,"단체복,트레이닝복"
274,원진글로벌,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 3층 322호",남자용 겉옷 제조업 외 6 종,"의류, 상하의자켓, 셔츠, 조끼, 장갑"
275,원진하이택,"서울특별시 중랑구 용마산로94길 22, 3층 (면목동)",시계 및 시계부품 제조업,손목시계
276,원투사,"서울특별시 중랑구 용마산로115길 34 (망우동, 대인빌딩)",셔츠 및 블라우스 제조업 외 1 종,티셔츠
277,위젠,"서울특별시 중랑구 중랑천로 124, 지층 (중화동)",가방 및 기타 보호용 케이스 제조업 외 4 종,가방
278,유강편직,"서울특별시 중랑구 면목로56길 55 (면목동, 평강교회)",기타 직물제품 제조업,직물제품
279,유나이티드프라스틱(주),서울특별시 중랑구 상봉로 10 (면목동),플라스틱 접착처리 제품 제조업 외 1 종,교통안전시설물
280,유성산업,서울특별시 중랑구 동일로114길 33 (상봉동),그 외 기타 의복액세서리 제조업,블라우스(여성용)
281,유성섬유,서울특별시 중랑구 봉화산로 5 (중화동),편조의복 제조업,니트원단
282,율산디자인,"서울특별시 중랑구 봉화산로 242, 202호(신내동)",경 인쇄업 외 2 종,"인쇄, 출력물, 간판, 광고물, 금속 가공제품"
283,의류명가 울오메,"서울특별시 중랑구 동일로 674, 4층 401호 (면목동, 주영빌딩)","근무복, 작업복 및 유사의복 제조업 외 4 종","의류, 자켓, 바지, 근무복, 내의"
284,이브커텐,서울특별시 중랑구 용마산로118길 90 (망우동),커튼 및 유사제품 제조업,거튼
285,인영자수,"서울특별시 중랑구 면목로 233 (면목동, 실로암선교회)",자수제품 및 자수용재료 제조업 외 1 종,자수용품
286,인우실업,"서울특별시 중랑구 용마산로117길 35, 지하 1층(망우동, 동성빌딩)",그 외 기타 봉제의복 제조업,의류 제조업
287,일석공업(주),"서울특별시 중랑구 망우로 504-10, 외1필지 금호아파트 상가동 (망우동)",기타 가공 공작기계 제조업,드레인
288,일영어패럴,서울특별시 중랑구 겸재로 203 (면목동),셔츠 및 블라우스 제조업 외 3 종,티셔츠
289,장애인보호작업장 소담,"서울특별시 중랑구 상봉로 61, 2층(면목동, 한양빌딩)",그 외 기타 봉제의복 제조업 외 7 종,"근무복, 외투, 운동복"
290,재웅수출포장,서울특별시 중랑구 면목동 596-31번지,판지 상자 및 용기 제조업 외 1 종,포장용 상자
291,정원산업,서울특별시 중랑구 신내동 269-8번지,커튼 및 유사제품 제조업,브라인드
292,조은니트,"서울특별시 중랑구 중랑천로 176, 지층 (중화동)",남자용 겉옷 제조업 외 2 종,"니트, 장갑"
293,주식회사 가방클럽,"서울특별시 중랑구 동일로 685, 지층 (면목동)",가방 및 기타 보호용 케이스 제조업 외 10 종,"가방,지갑,벨트,커버,의류,조끼 등"
294,주식회사 그린주의,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) A동 5층 515호 좌측 일부호",간판 및 광고물 제조업,"간판, 안내판, 전시대, 현수막"
295,주식회사 꿈인에스씨,"서울특별시 중랑구 신내역로3길 40-36, B동 FB207호 (신내동) B동 FB207호 외 1필지",기타 조명장치 제조업,"조명기구, 조명커버, 인테리어 내장시트"
296,주식회사 뉴백산,"서울특별시 중랑구 용마산로 296-2, 2층 (면목동)",화학섬유직물 직조업 외 26 종,"의류,피복,가방,지갑,벨트"
297,주식회사 뉴비트,"서울특별시 중랑구 신내역로 111, B1층 B141호 (신내동, 신내 SK V1 center) B1층 B141호",기타 주변기기 제조업,전자장비
298,주식회사 대아무역,"서울특별시 중랑구 봉화산로 123, 3층 305호 (상봉동, 신내테크노타운) 3층 305호",스타킹 및 기타 양말 제조업,"스타킹, 양말"
299,주식회사 대한유비텍,"서울특별시 중랑구 중랑천로15길 24, 2층 (중화동)",방송장비 제조업 외 3 종,폐쇄회로 텔레비전시스템(CCTV)
300,주식회사 도영,"서울특별시 중랑구 양원역로 18, 금호어울림 상가 지층 (망우동)",셔츠 및 블라우스 제조업 외 4 종,등산복(점퍼)
301,주식회사 동선어패럴,"서울특별시 중랑구 동일로130길 28, 2층(중화동, 유리유치원)",침구 및 관련제품 제조업 외 18 종,"침구류, 배낭 침낭, 귀덮개, 마스크, 티셔츠 등, 티셔츠 등, 셔츠 블라우스, 유니폼, 가죽자켓, 아동복, 속옷, 벨트, 니트, 가방, 모자, 가방, 지갑, 귀덮개, 아우터"
302,주식회사 두리광고,서울특별시 중랑구 중랑천로 144 (중화동),간판 및 광고물 제조업 외 3 종,광고물
303,주식회사 마크라,"서울특별시 중랑구 봉우재로 53, 2층(면목동)",기타 직물제품 제조업,"의류, 가죽모피제품, 섬유제품"
304,주식회사 메타파사드,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 7층 721호 외 1필지",전시 및 광고용 조명장치 제조업 외 2 종,"LED전광판, 방송장비, 비디오, 기타 영상기기"
305,주식회사 미린상사,"서울특별시 중랑구 봉우재로 75, 3층(상봉동, 캐리어빌딩)",남자용 겉옷 제조업 외 3 종,"남자용 다이마루 의류, 여자용 다이마루 의류, 셔츠, 블라우스, 아동복, 유아복"
306,주식회사 벌룬코리아,"서울특별시 중랑구 면목로84길 20, 지층~2층 (면목동)",간판 및 광고물 제조업 외 3 종,"풍선,스카이댄스,에어광고물, 전시 및 광고용 조명장치, 간판, 피오피물, 이벤트용품"
307,주식회사 보아이엔씨,"서울특별시 중랑구 용마산로 198, 2층 (면목동)",자수제품 및 자수용재료 제조업,"의류용 컴퓨터자수, 와펜"
308,주식회사 선우물산,"서울특별시 중랑구 용마산로116길 18, 2층 (망우동)",셔츠 및 블라우스 제조업 외 2 종,"티셔츠, 니트웨어"
309,주식회사 세림기획,"서울특별시 중랑구 면목로21길 9, 지층 (면목동)",셔츠 및 블라우스 제조업 외 4 종,의류
310,주식회사 세븐레이저,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 12층 1202호",기체 여과기 제조업,산업용 집진기
311,주식회사 수영에너지솔루션,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) 지하동동 지하3층층 SB322호",기타 조명장치 제조업 외 1 종,"LED경관조명기구, LED가로등기구"
312,주식회사 시즌케이브,"서울특별시 중랑구 상봉로 82, 2층 (망우동, 유진빌딩)",셔츠 및 블라우스 제조업 외 5 종,"점프수트,앞치마,멜빵바지, 티셔츠, 자켓, 코트, 티셔츠, 자켓, 코트, 셔츠, 에코백, 방한모자, 에코백"
313,주식회사 씨에이치상역,"서울특별시 중랑구 봉우재로 234, 동우빌딩 4층 (망우동)",셔츠 및 블라우스 제조업 외 3 종,"의류(운동복, 등산복)"
314,주식회사 씨엔비위즈,"서울특별시 중랑구 망우로74가길 20, 2층 (망우동, 성공빌딩)",빵류 제조업,제빵류
315,주식회사 씨엔티,"서울특별시 중랑구 중랑천로 43, 201호 (면목동)",전시 및 광고용 조명장치 제조업,LED조명
316,주식회사 아토아이앤씨,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 3층 315호 외 2필지",산업처리공정 제어장비 제조업 외 1 종,"공장 자동화설비,기기"
317,주식회사 에스아이트러스트,"서울특별시 중랑구 동일로140길 8, 2층 (중화동)",셔츠 및 블라우스 제조업 외 13 종,"티셔츠,운동복,내의,베개커버, 근무복"
318,주식회사 에이비씨오토매틱,"서울특별시 중랑구 중랑천로 105, 2층(중화동, ABC square)",기체 여과기 제조업 외 4 종,"출입통제게이트, 컴퓨터주변기기, 도서관리시스템, 방역장비, 출입관리시스템, 기체여과기, 대형관 리벳, 기체 여과기, 동력식 수지 공구"
319,주식회사 에이원트래픽알앤디,"서울특별시 중랑구 신내역로 111, B동 924호(신내동)",교통 신호장치 제조업,"LED 바닥형 보행신호등, 교통신호 시설물"
320,주식회사 에이원트래픽알앤디,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 B1층 B126호",교통 신호장치 제조업,"LED바닥형 보행신호등, 교통신호 시설물"
321,주식회사 에이피안전기술,서울특별시 중랑구 면목로76길 44 (면목동),전기경보 및 신호장치 제조업 외 2 종,시청각경보기
322,주식회사 엠티에스,"서울특별시 중랑구 봉우재로 187, 2층,3층 (망우동)",전시 및 광고용 조명장치 제조업 외 2 종,LED전광판
323,주식회사 오유엘,"서울특별시 중랑구 동일로139길 68, 2층 (중화동)",가정용 및 산업용 공기 조화장치 제조업 외 2 종,산소발생기
324,주식회사 와이즈도어,"서울특별시 중랑구 신내역로3길 40-36,(신내동) A동동 지상5층층 A-514호","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",창호(중문)
325,주식회사 유핏,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) B동 11층 1108호",기타 주변기기 제조업,"멀티미디어학습장치, 인터렉티브화이트보드"
326,주식회사 이누코리아,"서울특별시 중랑구 신내역로 111, 529호(신내동)",가방 및 기타 보호용 케이스 제조업,휴대폰 케이스
327,"주식회사 이엘티(EL·T Co., Ltd.)",서울특별시 중랑구 신내역로3길 40-36 (신내동) A동 지상10층 A-1010호,주방용 전기기기 제조업,"핫워터디스펜스, 스마트빔히터"
328,주식회사 이지픽스,"서울특별시 중랑구 중랑역로 269, 지층(묵동)",그 외 기타 의료용 기기 제조업,환자고정보호대 및 보조기구
329,주식회사 인디컴퍼니,"서울특별시 중랑구 면목로 389, 2층 (면목동)",가죽의복 제조업,"가죽잠바, 코트, 스커트, 바지"
330,주식회사 인터포스트,"서울특별시 중랑구 동일로111길 19, 2층 (상봉동)",유선 통신장비 제조업 외 1 종,정보통신장비 등
331,주식회사 일신바이오브랜치,"서울특별시 중랑구 중랑천로 77, 101호,102호,103호,112호,113호 (상봉동, 상봉오피스텔)",산업용 냉장 및 냉동 장비 제조업 외 2 종,초저온 냉동고
332,주식회사 제이와이라이팅,"서울특별시 중랑구 상봉중앙로1길 20, 지층 (상봉동)",일반용 전기 조명장치 제조업,조명기구
333,주식회사 지안네이처,"서울특별시 중랑구 신내역로3길 40-36,(신내동, 신내 데시앙플렉스 지식산업센터) A동 5층 515호 좌측 일부 및 우측호",기타 인쇄관련 산업 외 2 종,"인쇄물, 탈취제품, 친환경 세정제"
334,주식회사 지인커뮤니티,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 4층 411호",간판 및 광고물 제조업,간판 및 광고물
335,주식회사 청양섬유,"서울특별시 중랑구 용마산로89길 27, 2층 (면목동)",남자용 겉옷 제조업 외 8 종,의복
336,주식회사 큐텍(CUTEC Co.Ltd.),"서울특별시 중랑구 봉화산로 123, 6층 601(우) (상봉동, 신내테크노타운)",일반용 전기 조명장치 제조업,조명기구
337,주식회사 투비테크,"서울특별시 중랑구 용마산로93길 8, 1층(면목동)",기타 무선 통신장비 제조업,"호출벨, 모니터, 게스트페이저, 손목페이저, DID시스템"
338,주식회사 트러스트닷컴,"서울특별시 중랑구 중랑역로 167, 지층 (묵동)",기타 직물제품 제조업 외 9 종,의류
339,주식회사 티스카,"서울특별시 중랑구 신내역로3길 40-36, (신내동, 신내 데시앙플렉스 지식산업센터) B동 5층 504호",핸드백 및 지갑 제조업 외 2 종,"악세사리, 잡화"
340,주식회사 포티움,"서울특별시 중랑구 중랑천로 93, 2층 (중화동)",셔츠 및 블라우스 제조업 외 1 종,패션의류
341,주식회사 폰누리,"서울특별시 중랑구 동일로 608, 지층 (면목동)",가방 및 기타 보호용 케이스 제조업,"가죽 핸드폰 케이스, 지갑, 의류"
342,주식회사 플라이쿱,"서울특별시 중랑구 겸재로 135, 2층(면목동)",자수제품 및 자수용재료 제조업 외 14 종,"피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등, 피복류(근무복, 작업복, 운동복 등), 모자류 등"
343,주식회사 피앤피라이프,"서울특별시 중랑구 중랑역로 234-5, 1층 (묵동)",기타 운동 및 경기용구 제조업,"운동 보조기구, 커스텀 스포츠 장식품"
344,주식회사 필덤,"서울특별시 중랑구 동일로109길 17, 지하1층 (면목동)",남자용 겉옷 제조업 외 8 종,"의류, 가방 및 잡화"
345,주식회사 한국벨우드,"서울특별시 중랑구 망우로66길 38, 지층 (망우동)","근무복, 작업복 및 유사의복 제조업 외 16 종","의류,가방,모자"
346,주식회사 한국엠제이컴퍼니,"서울특별시 중랑구 봉우재로 216, 지층(망우동, 여주슈퍼)",기타 직물제품 제조업,구명조끼
347,주식회사 행복큐산업,"서울특별시 중랑구 상봉로 7, 304호(면목동)",남자용 겉옷 제조업 외 14 종,의류
348,주식회사 행복큐산업,"서울특별시 중랑구 겸재로 154, 3층(면목동, 태양빌딩)",기타 인쇄업,가타 인쇄
349,주연씨엠에스(주),"서울특별시 중랑구 동일로 869, 3층(묵동)",교통 신호장치 제조업,LED 바닥형 보행신호등
