시설명,동구분,주소,위도,경도,생산품,업종명,데이터기준일
화신계기공업사,창동,도봉구 도봉로110라길 70-15 (창동),37.64249,127.03563,전기계기,"전자기 측정, 시험 및 분석기구 제조업",2018-01-01
효림식품,쌍문동,도봉구 쌍문동,37.65704,127.01752,"건조식품, 떡류 등",떡류 제조업 외 1 종,2018-01-01
흥진공업사,창동,도봉구 우이천로 199 (창동),37.63751,127.03616,플라스틱제품,포장용 플라스틱 성형용기 제조업,2018-01-01
우진실업,창동,도봉구 노해로62길 64 (창동),37.64836,127.03815,여성용바지,"근무복, 작업복 및 유사의복 제조업",2018-01-01
유니온라이트(주),창동,도봉구 우이천로4다길 47 (창동),37.63582,127.03991,기타,일반용 전기 조명장치 제조업 외 2 종,2018-01-01
유림섬유,방학동,도봉구 도당로 53 (방학동),37.66294,127.0345,기타양말,스타킹 및 기타양말 제조업,2018-01-01
유한실업,창동,"도봉구 해등로16길 76,  지하1층 (창동)",37.65473,127.04405,양말,스타킹 및 기타양말 제조업,2018-01-01
미래산업,도봉동,도봉구 시루봉로23가길 4 (도봉동),37.67196,127.03971,기성복,가방 및 기타 보호용 케이스 제조업 외 3 종,2018-01-01
삼원전광(주),창동,"도봉구 우이천로4다길 18, 지층 (창동)",37.63472,127.04091,전자부품,전구 및 램프 제조업,2018-01-01
삼지데이타,창동,"도봉구 노해로69길 15,  세정빌딩 502호 (창동)",37.65294,127.0506,비상경보장치외,유선 통신장비 제조업 외 4 종,2018-01-01
서울사,창동,도봉구 도봉로110라길 69-22 (창동),37.64321,127.03745,장의용품,그외 기타 나무제품 제조업,2018-01-01
서울탁주도봉연합제조장,창동,도봉구 덕릉로 219 (창동),37.63787,127.03682,탁주,탁주 및 약주 제조업,2018-01-01
유성테크윈,창동,도봉구 우이천로12길 34 (창동),37.63616,127.04002,기타,배전반 및 전기자동제어반 제조업,2018-01-01
유신건재,창동,도봉구 마들로 339-5 (창동),37.64238,127.05368,"시멘트벽돌,블록","콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-01-01
은혜양말,창동,도봉구 덕릉로57길 52 (창동),37.64042,127.03603,양말,스타킹 및 기타양말 제조업,2018-01-01
이화섬유,창동,도봉구 덕릉로63가길 12 (창동),37.64371,127.03966,양말,스타킹 및 기타양말 제조업,2018-01-01
일우엠앤디(주),쌍문동,"도봉구 도봉로141길 17,  4층 (쌍문동)",37.66152,127.0411,"자동차블랙박스,자동차영상주행기록계",자동차용 전기장치 제조업 외 2 종,2018-01-01
장안상사,창동,도봉구 덕릉로63길 93 (창동),37.64547,127.03979,양말편조,스타킹 및 기타양말 제조업 외 1 종,2018-01-01
정호섬유,도봉동,도봉구 도봉산3길 27 (도봉동),37.68611,127.04395,양말편조,스타킹 및 기타양말 제조업,2018-01-01
조은섬유공업사,방학동,도봉구 도당로15길 31 (방학동),37.66665,127.03585,양말편조,스타킹 및 기타양말 제조업,2018-01-01
주식회사 에이스이씨이,방학동,"도봉구 도당로 120,  2층 (방학동)",37.66702,127.03973,기타음향기기제조업및광고용조명장비,기타 음향기기 제조업 외 1 종,2018-01-01
주식회사 지아이엘에스,방학동,"도봉구 방학로6가길 49,  지하 (방학동)",37.66593,127.03865,양말,스타킹 및 기타양말 제조업,2018-01-01
진성섬유,창동,도봉구 덕릉로59길 4 (창동),37.64033,127.03922,양말,스타킹 및 기타양말 제조업,2018-01-01
진영금속,창동,도봉구 도봉로104길 61-13 (창동),37.64389,127.03521,기타,단추 및 유사 파스너 제조업,2018-01-01
진흥산업,도봉동,"도봉구 도봉산길 43 (도봉동, 호정프라자)",37.68693,127.04063,"끈,고무줄끈,테이프 외",기타편조제품제조업,2018-01-01
진흥전기(주),창동,도봉구 덕릉로63길 29 (창동),37.64267,127.04025,전기장비제조,"전기회로 개폐, 보호 및 접속 장치 제조업 외 1 종",2018-01-01
대일벨트,쌍문동,"도봉구 노해로 202,  지하1층 (쌍문동)",37.65071,127.03048,"지갑, 벨트 등",핸드백 및 지갑 제조업 외 3 종,2018-01-01
대풍섬유,방학동,도봉구 시루봉로 216 (방학동),37.66772,127.03424,양말편조,스타킹 및 기타양말 제조업,2018-01-01
대한섬유,방학동,도봉구 도봉로145길 51 (방학동),37.66449,127.03967,양말,스타킹 및 기타양말 제조업,2018-01-01
덕흥섬유,방학2동,도봉구 시루봉로 231 (방학동),37.66881,127.03522,양말,스타킹 및 기타양말 제조업,2018-01-01
동국정밀공업,창동,도봉구 우이천로 226-8 (창동),37.6394,127.03466,컴퓨터복사기정밀부품,주형 및 금형 제조업,2018-01-01
브릴랜드시계,창동,도봉구 덕릉로63가길 98 (창동),37.64209,127.03505,시계및부품,시계부품 제조업,2018-01-01
사단법인 기능장애인협회,쌍문동,"도봉구 삼양로162가길 72,  1층 (쌍문동)",37.66122,127.01509,cctv,기타 무선 통신장비 제조업 외 2 종,2018-01-01
삼성식품,창동,도봉구 도봉로104길 69 (창동),37.64345,127.03582,두부,두부 및 유사식품 제조업,2018-01-01
삼원식품,창동,도봉구 덕릉로59길 48 (창동),37.64144,127.03724,두부류,두부 및 유사식품 제조업,2018-01-01
청우금속,창동,도봉구 덕릉로61길 21 (창동),37.64141,127.03906,수출용단추,단추 및 유사 파스너 제조업,2018-01-01
케이싹(Ksox),방학동,"도봉구 방학로 23,  지층 (방학동)",37.66183,127.04956,양말,스타킹 및 기타양말 제조업,2018-01-01
타워실업(주),창동,"도봉구 덕릉로 272, 4층 (창동)",37.64134,127.04096,기저귀 커버,기타 직물제품 제조업 외 1 종,2018-01-01
태경사,창동,"도봉구 도봉로110라길 18, 지하1층 (창동)",37.64531,127.0357,체육복제조생산,셔츠 및 체육복 제조업 외 1 종,2018-01-01
태일섬유,창동,도봉구 도봉로110라길 70-30 (창동),37.64296,127.03518,양말,스타킹 및 기타양말 제조업,2018-01-01
