순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
213,(주)이비젼텍,안장응,배전반,"서울특별시 영등포구 선유로 70, 3층 302호 (문래동3가, 우리벤처타운2)",배전반 및 전기 자동제어반 제조업
214,(주)이안일렉트로닉스,김덕종,"전자제품, 조명제품","서울특별시 영등포구 선유로13길 25, 1402호 (문래동6가)",일반용 전기 조명장치 제조업 외 2 종
215,(주)이안정공,김태준,자동화기계,서울특별시 영등포구 선유로 176 (양평동3가),"용기 세척, 포장 및 충전기 제조업"
216,(주)이우제책사,강성학,책제본,서울특별시 영등포구 당산로49길 25 (당산동6가),제책업
217,(주)이정애드,이병익,"간판, 광고물제작","서울특별시 영등포구 신길로 145, 1층,3층 (신길동)",간판 및 광고물 제조업 외 4 종
218,(주)이지비앤티,김한복,전기변환장치,"서울특별시 영등포구 영등포로5길 19, 9층 906호 (양평동2가, 동아프라임밸리)",기타 전기 변환장치 제조업 외 2 종
219,(주)이지코스,조동호,"기타화학제품,화장수,가향제,방향유","서울특별시 영등포구 양산로25길 11 (당산동3가, 솔내음장로교회)",그외기타전자부품제조업 외 4 종
220,(주)이트레이딩코리아,우성영,"통신장비부품(광모듈,미디어컨버터)","서울특별시 영등포구 영신로 220, 14층 1413호 (영등포동8가, KnK디지털타워)",유선 통신장비 제조업
221,(주)이티솔루션즈,구원모,신문,서울특별시 영등포구 양평로28가길 14(양평동6가),오프셋 인쇄업
222,(주)이프애드,이대훈,간판,"서울특별시 영등포구 양평로 158, 외 1필지 (양평동5가) 외 1필지",전시 및 광고용 조명장치 제조업 외 1 종
223,(주)이피엔씨테크,장성만,전해수 생성기,"서울특별시 영등포구 버드나루로 56, 201호 (영등포동7가, 오성빌딩)",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종
224,(주)이피엔씨테크원,조영일,전기분해 이온수기 등,"서울특별시 영등포구 영중로 138-1, 101-A호 (영등포동8가, 드림프라자)",그 외 기타 전기장비 제조업
225,(주)인성아이티,남궁훈,"로컬제어기, 컴퓨터서버 및 컴퓨터",서울특별시 영등포구 양평로22길 21 (양평동5가) 선유도 코오롱디지털타워 B110호,컴퓨터 제조업
226,(주)인터넷시큐리티,강형자,OTP외 보안통신장비,"서울특별시 영등포구 경인로 775, 1동 6층 604호 (문래동3가, 에이스하이테크시티)",그 외 기타 전자부품 제조업 외 1 종
227,(주)인티어리,조연호,산업용컴퓨터,"서울특별시 영등포구 영등포로5길 19, B1층 105 (양평동2가, 동아프라임밸리)",컴퓨터 제조업
228,(주)인파워이엔아이,이종호,낙뢰모니터링시스템,"서울특별시 영등포구 영등포로 109, 영등포유통상가 709호 (당산동2가)",기기용 자동측정 및 제어장치 제조업 외 1 종
229,(주)일일사프린트,이명조,인쇄물,"서울특별시 영등포구 경인로82길 3-4 (문래동1가, 센터플러스) B2층 212호 외 1필지",오프셋 인쇄업
230,(주)자바네트웍스,김태환,"CCTV,영상감시장치","서울특별시 영등포구 선유서로31길 3, 6층 602 (양평동3가, 솔버스 비즈타워)",방송장비 제조업 외 1 종
231,(주)장수커뮤니케이션즈,김현수,무선송수신기,"서울특별시 영등포구 양산로 57-5, 이노플렉스906호 (양평동3가)",유선 통신장비 제조업 외 6 종
232,(주)전시디자인한국모형,윤명균,모형제작,서울특별시 영등포구 당산로27길 17 (당산동3가),전시용 모형 제조업
233,(주)정민실업,이정인,정밀기계,"서울특별시 영등포구 선유서로 23, 1층 (문래동5가)",구조용 금속 판제품 및 공작물 제조업 외 7 종
234,(주)정석엔지니어링,한준택,배전반 컨트롤 박스,"서울특별시 영등포구 경인로71길 50, B동 2층 (문래동4가, 조흥힐그린)",배전반 및 전기 자동제어반 제조업
235,(주)정수메이커,김의찬,"기계 부품, 기계 부품","서울특별시 영등포구 도림로141라길 16-1, .(문래동4가)",주형 및 금형 제조업 외 2 종
236,(주)정오건기,이미용,"날붙이,공금속,조립금속",서울특별시 영등포구 버드나루로12가길 28 (영등포동2가),육상 금속 골조 구조재 제조업 외 3 종
237,(주)정우엔터프라이즈,김정화,필름슬리버,"서울특별시 영등포구 양산로 43, 3층 301호 (양평동3가, 양평동우림 이 비지센타)",치과기공물 제조업 외 3 종
238,(주)정우엠이엔티,정인수,"베드콘솔,너스콜,Area alram","서울특별시 영등포구 선유로 146, 3층 319 (양평동3가, 이앤씨드림타워)",그 외 기타 의료용 기기 제조업 외 2 종
239,(주)정진상공,윤경숙,고무밴드,서울특별시 영등포구 도림로53길 25 (대림동),세폭직물 제조업
240,(주)제스트전자,전종희,"컴퓨터, 액정 평판디스플레이, 컴퓨터모니터","서울특별시 영등포구 선유로9길 10, 13층 1301 (문래동6가)",컴퓨터 제조업 외 2 종
241,(주)제이티지,최홍묵,"컴퓨터,주변기기","서울특별시 영등포구 선유서로34길 11-6 (양평동3가, 우진빌딩)",컴퓨터 제조업
242,(주)제황,이익재,"명함, 인쇄물","서울특별시 영등포구 선유로13길 25, B116호 (문래동6가)",기타 인쇄업 외 1 종
243,(주)젤루텍,이두규,"PLD, 교환시설 및 광전송장비 외, 휴대폰충전보관함","서울특별시 영등포구 경인로 775, 1동 7층 722 (문래동3가, 에이스하이테크시티)",메모리용 전자집적회로 제조업 외 14 종
244,(주)조방실리콘,백옥자,"전열기기,전자부품",서울특별시 영등포구 대림로 185 (대림동),가정용전열기기제조업
245,(주)조은세이프,이명근,"GPS TRACKE, CDMA/LTE ROUTER, USB MODEM","서울특별시 영등포구 선유로 70, 3층 303 (문래동3가, 우리벤처타운2)",기타 무선 통신장비 제조업
246,(주)조은시스템,"김승남,김창윤","CCTV주변기기,경보 및 신호장치","서울특별시 영등포구 문래로 77, 외1필지 대동오피스텔 지하 105호 (문래동3가)",방송장비 제조업
247,(주)조인아트,송요안,광고물,"서울특별시 영등포구 경인로82길 3-4, 6층 618호 (문래동1가, 센터플러스)",스크린 인쇄업 외 1 종
248,(주)중앙기공,유재학,발전기부속품,서울특별시 영등포구 경인로78길 12 (문래동1가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 20 종
249,(주)중원와이즈,홍순성,타일,"서울특별시 영등포구 선유서로34길 11-2, 문부빌딩 2층 (양평동3가)",타일 및 유사 비내화 요업제품 제조업
250,(주)지산아이엔씨,김광수,순번대기기,"서울특별시 영등포구 양산로19길 13-2, 신관4층 (당산동3가)",사무용 기계 및 장비 제조업
251,(주)지아이오멤버스,임경덕,"인쇄물, 광고물","서울특별시 영등포구 양평로21길 26, B1층 B102호 (양평동5가)",간판 및 광고물 제조업 외 2 종
252,(주)지아이피,김중희,"간판,광고물","서울특별시 영등포구 선유로53길 34-9, 1층 (양평동4가)",간판 및 광고물 제조업
253,(주)지엠디텔레콤,김창윤,다중화장치,"서울특별시 영등포구 양평로21길 26, 7층 708 (양평동5가)",유선 통신장비 제조업 외 1 종
254,(주)진영이엔지,이경상,"자동제어판넬, 대형표시기(디스플레이)","서울특별시 영등포구 양산로3길 15, 1층 (양평동3가)",배전반 및 전기 자동제어반 제조업
255,(주)진원하이테크,황인준,"렉크,탱크,금석판제품","서울특별시 영등포구 경인로71길 6 (문래동2가, 삼승빌딩)",구조용 금속 판제품 및 공작물 제조업
256,(주)참슬테크,정희연,"전기,전자부품","서울특별시 영등포구 양평로 149, 8층 806호 (양평동5가, 선유도 우림라이온스밸리A) 8층 806호",유선 통신장비 제조업 외 1 종
257,(주)참슬테크,정희연,"주차주제어장치, 차량인식기, 주차안내판, 주차요금계산기, 차량차단기, UPIS, 공동현관리더기, 원패스키, 전자식 전력량계, 주차유도카메라","서울특별시 영등포구 양평로 149 (양평동5가, 선유도 우림라이온스밸리A) A동 8층 802호",교통 신호장치 제조업 외 3 종
258,(주)창흥텔레콤,"진경미, 진병윤","방송, 영상기기 외","서울특별시 영등포구 경인로 775, 3동 7층 702호 (문래동3가, 에이스하이테크시티)",방송장비 제조업 외 11 종
259,(주)챈스아이,오영화,컴퓨터부품,"서울특별시 영등포구 선유로33길 15, 2층 205 (양평동3가)",그 외 기타 전자부품 제조업 외 3 종
260,(주)청류에프앤에스,김정수,"기체 여과기, 필터하우징",서울특별시 영등포구 경인로80길 3-9 (문래동1가),기체 여과기 제조업
261,(주)청정씨앤씨,김기석,무선수위조절기외4종,서울특별시 영등포구 도신로15다길 3 (도림동),액체 여과기 제조업 외 6 종
