순번,회사명,공장대표주소(도로명),업종명,데이터기준일자
46,(주)우리전열,서울특별시 종로구 종로18길 36 (관수동),배전반 및 전기 자동제어반 제조업 외 5 종,2025-07-09
47,(주)우리전열,"서울특별시 종로구 종로18길 37, 204호(관수동)","산업용 오븐, 노 및 노용 버너 제조업",2025-07-09
48,(주)이지인토탈패션,서울특별시 종로구 북촌로 46-1 (가회동),한복 제조업,2025-07-09
49,(주)일능,서울특별시 종로구 종로22길 14-1 (장사동),방송장비 제조업,2025-07-09
50,(주)자슈트,"서울특별시 종로구 종로35길 36, 2,4층(효제동, 대창빌딩)","근무복, 작업복 및 유사의복 제조업 외 4 종",2025-07-09
51,(주)자일럭스,"서울특별시 종로구 진흥로 439 (구기동, 인왕빌딩)",전기식 진단 및 요법 기기 제조업,2025-07-09
52,(주)작품오늘,서울특별시 종로구 필운대로 36 (누하동),간판 및 광고물 제조업 외 1 종,2025-07-09
53,(주)제이디씨텍,서울특별시 종로구 평동 39번지,기타 인쇄업 외 1 종,2025-07-09
54,(주)제이진옴므,"서울특별시 종로구 율곡로 241-2, 4층 401호 (충신동)",남자용 겉옷 제조업 외 1 종,2025-07-09
55,(주)주어링,"서울특별시 종로구 돈화문로6나길 28-5, 5층 (봉익동)",귀금속 및 관련제품 제조업,2025-07-09
56,(주)질경이우리옷,서울특별시 종로구 창경궁로 245 (명륜2가),그 외 기타 봉제의복 제조업,2025-07-09
57,(주)참신나는 옷,"서울특별시 종로구 창신길 59 (창신동, 주영빌딩)","근무복, 작업복 및 유사의복 제조업 외 2 종",2025-07-09
58,(주)케이디티다이아몬드,"서울특별시 종로구 돈화문로5길 20, 1층 (돈의동, 다이아몬드빌딩)",귀금속 및 관련제품 제조업,2025-07-09
59,(주)케이와이비물산,"서울특별시 종로구 지봉로16길 21, 1층 (숭인동)",그 외 기타 봉제의복 제조업 외 1 종,2025-07-09
60,(주)코리아러프다이아몬드,"서울특별시 종로구 돈화문로10길 20, 삼삼빌딩 5층 503 (봉익동)",귀금속 및 관련제품 제조업,2025-07-09
61,(주)코리아쉬핑가제트,서울특별시 종로구 자하문로2길 13-3 (통의동),일반 서적 출판업 외 3 종,2025-07-09
62,(주)클로토제이앤제이,서울특별시 종로구 홍지문길 2 (홍지동),"근무복, 작업복 및 유사의복 제조업 외 7 종",2025-07-09
63,(주)탑메디칼 컴퍼니,"서울특별시 종로구 종로 150, 3층 (종로3가)",그 외 기타 의료용 기기 제조업,2025-07-09
64,(주)투디안,"서울특별시 종로구 난계로27길 44-5 (숭인동, 해광빌딩)",모피 및 가죽 제조업 외 3 종,2025-07-09
65,(주)투앤투,"서울특별시 종로구 창경궁로16나길 30, 천우빌딩 3층(원남동)",귀금속 및 관련제품 제조업,2025-07-09
66,(주)풍신레포츠,서울특별시 종로구 지봉로8길 46-4 (숭인동),셔츠 및 블라우스 제조업 외 2 종,2025-07-09
67,(주)플랜비,서울특별시 종로구 종로26길 14-10 (장사동),전자 응용 절삭기계 제조업,2025-07-09
68,(주)필로스주얼리,서울특별시 종로구 돈화문로 84 (와룡동),귀금속 및 관련제품 제조업,2025-07-09
69,(주)한국금거래소,"서울특별시 종로구 돈화문로5가길 1, 9-4호 (돈의동)",귀금속 및 관련제품 제조업,2025-07-09
70,(주)한국표준거래소,서울특별시 종로구 율곡로8길 37 (와룡동),귀금속 및 관련제품 제조업,2025-07-09
71,(주)해광시그날,"서울특별시 종로구 청계천로 391, 318호 (숭인동)",일반용 전기 조명장치 제조업 외 3 종,2025-07-09
72,경일사,서울특별시 종로구 사직로 105 (내자동),경 인쇄업 외 1 종,2025-07-09
73,고려인쇄,서울특별시 종로구 종로52길 43-17 (창신동),경 인쇄업 외 1 종,2025-07-09
74,광성전등(주),"서울특별시 종로구 동순라길 78-7, 지하1 (원남동)",일반용 전기 조명장치 제조업,2025-07-09
75,국일교역,서울특별시 종로구 묘동 98번지,기타 인쇄업 외 1 종,2025-07-09
76,극동조명,"서울특별시 종로구 동순라길 106-7, 외1필지 (1층) (원남동)",일반용 전기 조명장치 제조업,2025-07-09
77,꼬세르,"서울특별시 종로구 율곡로1길 41, 지하층 (사간동)",한복 제조업,2025-07-09
78,나라전자,"서울특별시 종로구 청계천로 159, 세운상가 857호 (장사동)",기타 무선 통신장비 제조업,2025-07-09
79,남일문화 (주),서울특별시 종로구 자하문로16길 8 (창성동),경 인쇄업 외 2 종,2025-07-09
80,뉴라이트전자,서울특별시 종로구 낙산길 12 (동숭동),일반용 전기 조명장치 제조업,2025-07-09
81,대동조명상사,서울특별시 종로구 원남동 28-8번지,일반용 전기 조명장치 제조업,2025-07-09
82,대청정보시스템(주),서울특별시 종로구 대학로 49 (연건동),기타 주변기기 제조업,2025-07-09
83,대한기술용역(주),"서울특별시 종로구 삼일대로 469 (경운동, 서원빌딩)",기기용 자동측정 및 제어장치 제조업,2025-07-09
84,덕흥상사,서울특별시 종로구 평창문화로 25 (평창동),모자 제조업,2025-07-09
85,동부전원엔지니어링,서울특별시 종로구 창경궁로21길 7-15 (원남동),기타 전기 변환장치 제조업 외 2 종,2025-07-09
86,로미오패션,"서울특별시 종로구 종로 223, 302호 (종로5가, 우교빌딩)",남자용 겉옷 제조업,2025-07-09
