,허가번호,경도,위도
1255,322016110082114,127.015986,37.572047
1256,322016110082115,127.015986,37.572047
1257,322016110082116,127.015986,37.572047
1258,322016110082117,127.016114,37.567569
1259,322016110082118,127.016114,37.567569
1260,322016110082119,127.016114,37.567569
1261,322016110082120,127.016114,37.567569
1262,322016110082121,127.016114,37.567569
1263,322016110082122,127.016114,37.567569
1264,322016110082123,127.016114,37.567569
1265,322016110082124,127.016114,37.567569
1274,322016110085033,127.018778,37.571464
1275,322016110085444,127.011386,37.571611
1276,322016110085445,127.011386,37.571611
1277,322016110085446,127.011386,37.571611
1278,322016110085447,127.011386,37.571611
1279,322016110085448,127.011386,37.571611
1280,322016110085449,127.011386,37.571611
1281,322016110085450,127.011386,37.571611
1282,322016110085466,127.016064,37.573056
1283,322016110085467,127.016064,37.573056
1284,322016110085468,127.016064,37.573056
1285,322016110085469,127.016064,37.573056
1286,322016110085470,127.016064,37.573056
1287,322016110085471,127.016064,37.573056
1288,322016110085472,127.016064,37.573056
1289,322016110086239,127.016214,37.570183
1290,322016110086525,127.020719,37.570311
1330,322017110023160,127.016339,37.567706
1334,322017110027741,127.015942,37.574525
1337,322017110028849,127.013975,37.570606
1338,322017110028850,127.012958,37.571661
1345,322017110033788,127.013181,37.567708
1354,322017110039172,127.016233,37.572311
1369,322017110043470,127.016061,37.571489
1371,322017110045087,127.020672,37.572122
1381,322018110010626,127.015919,37.574583
1382,322018110013779,127.017331,37.567939
1383,322018110014789,127.013989,37.570611
1385,322018110025383,127.016064,37.573056
1386,322018110028295,127.013569,37.567358
1391,322018110033228,127.020672,37.572183
1394,322018110040357,127.011372,37.570792
1395,322018110040358,127.011372,37.570792
1402,322018110046440,127.0119,37.568661
1403,322018110046441,127.0119,37.568661
1404,322018110046442,127.0119,37.568661
1419,322018110059887,127.018117,37.574158
1428,322018110066794,127.011144,37.571772
1430,322018110068872,127.021447,37.570803
1462,322019110022857,127.013606,37.567383
1466,322019110023362,127.016131,37.566264
1611,322022110004942,127.013553,37.573658
1616,322022110006534,127.019533,37.568328
1688,322023110041106,127.016233,37.572311
1695,322023110041586,127.016383,37.572978
1720,322025110014983,127.011219,37.570483
1889,322014110004542,127.014247,37.574258
1890,322014110005188,127.008497,37.573506
1891,322014110005189,127.007572,37.573192
1892,322014110005192,127.011925,37.577003
1893,322014110005193,127.012028,37.571753
1894,322014110005194,127.008689,37.577778
1895,322014110005195,127.009583,37.572678
1896,322014110005197,127.007528,37.574725
1897,322014110005500,127.014808,37.573092
1898,322014110005501,127.010047,37.57005
1899,322014110005694,127.012472,37.575108
1900,322014110005695,127.013714,37.572747
1901,322014110005697,127.009886,37.576275
1902,322014110005702,127.008233,37.57635
1903,322014110005704,127.005503,37.575472
1904,322014110006727,127.015825,37.575631
1905,322014110006747,127.008333,37.571361
1912,322014110023885,127.011925,37.570067
1916,322014110032487,127.009533,37.570406
1927,322014110042714,127.011144,37.571772
1941,322014110066026,127.015267,37.572517
1942,322014110068459,127.016225,37.573842
1952,322015110005849,127.008944,37.570447
1953,322015110005850,127.008944,37.570447
1969,322015110028316,127.008944,37.570447
1970,322015110038492,127.016036,37.574122
1972,322015110044865,127.015186,37.571733
1976,322015110054043,127.012061,37.573617
1981,322015110058154,127.011347,37.570747
1982,322015110058155,127.009442,37.573975
1984,322015110064340,127.007161,37.576956
1997,322016110005078,127.015658,37.572189
2014,322016110037775,127.005967,37.573764
2015,322016110041232,127.009886,37.576275
2016,322016110041659,127.01395,37.572733
2017,322016110043303,127.007889,37.577394
2018,322016110043970,127.012028,37.571742
2019,322016110043971,127.010719,37.571397
2020,322016110043978,127.007572,37.573192
2021,322016110043980,127.007161,37.576928
2022,322016110043983,127.008497,37.573506
2023,322016110043990,127.012472,37.575108
2024,322016110043991,127.011925,37.577003
2025,322016110043992,127.012128,37.573689
2026,322016110043995,127.005967,37.573764
2027,322016110044001,127.010658,37.570056
2028,322016110044999,127.007881,37.571322
2031,322016110047130,127.009439,37.573992
2032,322016110047131,127.005967,37.573764
2035,322016110049194,127.015828,37.575606
2039,322016110051136,127.005503,37.575481
2040,322016110051700,127.008689,37.577778
2041,322016110051829,127.011925,37.570067
2044,322016110056084,127.012831,37.575722
2045,322016110057388,127.006808,37.571986
2068,322016110080390,127.009283,37.570522
2069,322016110080391,127.009283,37.570522
2070,322016110080392,127.009283,37.570522
2071,322016110080393,127.009283,37.570522
2072,322016110080394,127.009283,37.570522
2073,322016110080395,127.009283,37.570522
2074,322016110080396,127.009283,37.570522
2075,322016110080397,127.009283,37.570522
2076,322016110080398,127.009283,37.570522
2077,322016110080399,127.009283,37.570522
2078,322016110080400,127.009283,37.570522
2079,322016110080401,127.009283,37.570522
2080,322016110080402,127.009283,37.570522
2081,322016110080403,127.009283,37.570522
2085,322016110085444,127.011386,37.571611
2086,322016110085445,127.011386,37.571611
2087,322016110085446,127.011386,37.571611
2088,322016110085447,127.011386,37.571611
2089,322016110085448,127.011386,37.571611
2090,322016110085449,127.011386,37.571611
2091,322016110085450,127.011386,37.571611
2092,322016110085466,127.016064,37.573056
2093,322016110085467,127.016064,37.573056
2094,322016110085468,127.016064,37.573056
2095,322016110085469,127.016064,37.573056
2096,322016110085470,127.016064,37.573056
2097,322016110085471,127.016064,37.573056
2098,322016110085472,127.016064,37.573056
2109,322017110009219,127.0063,37.575958
2110,322017110011227,127.007528,37.574725
2116,322017110027735,127.009606,37.572678
2117,322017110027741,127.015942,37.574525
2119,322017110028850,127.012958,37.571661
2144,322017110051011,127.013833,37.574758
2146,322018110010626,127.015919,37.574583
2147,322018110013767,127.007028,37.5771
2149,322018110025383,127.016064,37.573056
2151,322018110035150,127.010339,37.570928
2155,322018110040357,127.011372,37.570792
2156,322018110040358,127.011372,37.570792
2165,322018110047381,127.007817,37.575881
2177,322018110066445,127.010892,37.575436
2182,322018110066794,127.011144,37.571772
2250,322019110079666,127.009533,37.570406
2255,322019110088096,127.009533,37.570406
2289,322020110068209,127.010722,37.57485
2306,322021110037131,127.008078,37.570808
2317,322022110004942,127.013553,37.573658
2351,322023110020577,127.012825,37.57575
2371,322025110014983,127.011219,37.570483
3282,322014110005500,127.014808,37.573092
3283,322014110005519,127.020947,37.573647
3284,322014110006614,127.020931,37.5749
3285,322014110006616,127.016528,37.576583
3286,322014110006723,127.019014,37.576053
3287,322014110006724,127.019228,37.576614
3288,322014110006726,127.020478,37.578428
3289,322014110006727,127.015825,37.575631
3290,322014110007295,127.020672,37.572122
3291,322014110007444,127.024461,37.575725
3292,322014110007553,127.025342,37.573519
3299,322014110030783,127.024086,37.575178
3307,322014110042715,127.01665,37.573314
3308,322014110042716,127.024086,37.575178
3318,322014110066026,127.015267,37.572517
3320,322014110068459,127.016225,37.573842
3331,322015110001059,127.021861,37.577231
3339,322015110019359,127.016717,37.572386
3340,322015110023639,127.021447,37.570803
3346,322015110038492,127.016036,37.574122
3348,322015110041515,127.022897,37.574328
3350,322015110058152,127.018767,37.571492
3357,322015110071674,127.023661,37.573758
3366,322016110002810,127.020253,37.573083
3371,322016110005078,127.015658,37.572189
3385,322016110012389,127.020167,37.573631
3388,322016110035022,127.019153,37.576622
3394,322016110041647,127.024461,37.575725
3395,322016110041660,127.020931,37.5749
3396,322016110043975,127.020139,37.573144
3397,322016110044320,127.020772,37.578375
3398,322016110045003,127.021803,37.5766
3399,322016110045005,127.019069,37.574314
3400,322016110049194,127.015828,37.575606
3401,322016110050963,127.023592,37.575047
3423,322016110082109,127.015986,37.572047
3424,322016110082110,127.015986,37.572047
3425,322016110082111,127.015986,37.572047
3426,322016110082112,127.015986,37.572047
3427,322016110082113,127.015986,37.572047
3428,322016110082114,127.015986,37.572047
3429,322016110082115,127.015986,37.572047
3430,322016110082116,127.015986,37.572047
3433,322016110084495,127.023592,37.575047
3434,322016110084496,127.023592,37.575047
3435,322016110085033,127.018778,37.571464
3436,322016110085466,127.016064,37.573056
3437,322016110085467,127.016064,37.573056
3438,322016110085468,127.016064,37.573056
3439,322016110085469,127.016064,37.573056
3440,322016110085470,127.016064,37.573056
3441,322016110085471,127.016064,37.573056
3442,322016110085472,127.016064,37.573056
3462,322017110003797,127.024564,37.576125
3463,322017110003798,127.024564,37.576125
3464,322017110003799,127.024564,37.576125
3465,322017110003800,127.024564,37.576125
3466,322017110003801,127.024564,37.576125
3467,322017110003802,127.024564,37.576125
3468,322017110003803,127.024564,37.576125
3469,322017110003804,127.024564,37.576125
3470,322017110003805,127.024564,37.576125
3471,322017110004030,127.024339,37.572025
3472,322017110004031,127.024339,37.572025
3473,322017110004032,127.024339,37.572025
3474,322017110004033,127.024339,37.572025
3485,322017110020866,127.021203,37.573972
3491,322017110025664,127.018497,37.575394
3496,322017110027741,127.015942,37.574525
3502,322017110030297,127.024086,37.575178
3503,322017110030298,127.024086,37.575178
3504,322017110030299,127.024086,37.575178
3505,322017110030300,127.024086,37.575178
3506,322017110032062,127.020053,37.577206
3507,322017110034226,127.021925,37.578242
3510,322017110034684,127.024786,37.574508
3526,322017110039172,127.016233,37.572311
3530,322017110041473,127.024086,37.575178
3532,322017110045087,127.020672,37.572122
3544,322018110010626,127.015919,37.574583
3545,322018110019157,127.022375,37.573681
3548,322018110025383,127.016064,37.573056
3557,322018110031426,127.024806,37.574519
3564,322018110033228,127.020672,37.572183
3569,322018110047040,127.019014,37.576053
3577,322018110059887,127.018117,37.574158
3582,322018110068872,127.021447,37.570803
3635,322019110073182,127.021819,37.572944
3663,322020110018884,127.023081,37.573364
3696,322020110047288,127.018078,37.578714
3710,322020110064605,127.021817,37.572914
3817,322023110041106,127.016233,37.572311
3824,322023110041586,127.016383,37.572978
3842,322024110029166,127.023661,37.573758
3971,322014110004507,126.969911,37.586881
3972,322014110004514,126.968417,37.587633
3973,322014110004532,126.973033,37.587989
3974,322014110005494,126.970047,37.583683
3975,322014110006632,126.972717,37.581631
3976,322014110006703,126.967064,37.580847
3989,322014110066017,126.967503,37.583319
3990,322014110066861,126.970617,37.580886
3995,322015110019358,126.969953,37.584017
3998,322015110038480,126.972425,37.5853
4008,322016110031064,126.972208,37.585494
4009,322016110044357,126.970808,37.580997
4010,322016110044361,126.973033,37.587989
4011,322016110045331,126.967064,37.580847
4027,322016110080978,126.970636,37.580856
4029,322016110084362,126.970053,37.586158
4030,322016110084468,126.972353,37.580656
4031,322016110084469,126.972353,37.580656
4032,322016110086124,126.972072,37.585322
4036,322017110015085,126.967744,37.584761
4037,322017110015308,126.972425,37.5853
4046,322017110063242,126.968714,37.583392
4053,322018110009745,126.972786,37.581183
4054,322018110009746,126.972786,37.581183
4118,322022110004591,126.9669,37.584467
4129,322022110030426,126.972014,37.583142
4137,322022110054601,126.970317,37.585533
4153,322024110035810,126.968286,37.582353
4155,322024110038703,126.968297,37.582406
4160,322025110017205,126.971239,37.584172
4171,322025110020424,126.974831,37.586589
4172,322025110020425,126.974831,37.586589
4173,322025110020426,126.974831,37.586589
4189,322025110023931,126.974831,37.586589
4190,322025110023932,126.974831,37.586589
4208,322025110032505,126.974831,37.586589
4324,322014110005211,126.978375,37.560833
4325,322014110005527,126.981661,37.554689
4326,322014110005528,126.981231,37.55555
4327,322014110005716,126.977092,37.560236
4328,322014110005717,126.975861,37.557631
4329,322014110005718,126.974589,37.558939
4330,322014110006874,126.979975,37.556789
4331,322014110006875,126.981722,37.556942
4332,322014110006876,126.978975,37.557478
4333,322014110006882,126.978903,37.559361
4334,322014110006914,126.979983,37.560847
4335,322014110007276,126.977022,37.55875
4342,322014110019424,126.976806,37.554772
4343,322014110019425,126.978506,37.553733
4353,322014110030792,126.978225,37.558525
4383,322014110066061,126.978972,37.560172
4386,322014110069029,126.975608,37.557989
4415,322015110000939,126.982953,37.560367
4416,322015110001064,126.97825,37.559933
4417,322015110001065,126.977664,37.559194
4420,322015110003451,126.983053,37.559811
4421,322015110003664,126.980572,37.559086
4422,322015110003672,126.975442,37.558528
4423,322015110005920,126.976222,37.559417
4425,322015110015600,126.979581,37.560392
4430,322015110018895,126.981875,37.554014
4431,322015110018901,126.976222,37.560914
4438,322015110027123,126.976267,37.560183
4441,322015110033546,126.975139,37.556553
4442,322015110033566,126.981542,37.559292
4447,322015110035097,126.981169,37.560928
4448,322015110037251,126.975594,37.553989
4449,322015110038481,126.977739,37.557756
4454,322015110058002,126.982503,37.560967
4455,322015110058156,126.978964,37.561428
4457,322015110058253,126.981169,37.560928
4472,322015110071681,126.979164,37.561128
4473,322015110071682,126.981578,37.560789
4476,322015110077589,126.982378,37.556147
4496,322016110012407,126.981661,37.554689
4511,322016110026807,126.976644,37.559972
4512,322016110026926,126.976978,37.561189
4513,322016110026927,126.978633,37.558467
4516,322016110030747,126.979844,37.559203
4517,322016110031504,126.976953,37.557236
4519,322016110033686,126.977747,37.561178
4520,322016110033705,126.983617,37.557489
4521,322016110034099,126.977739,37.557756
4522,322016110034121,126.981678,37.557158
4523,322016110034756,126.975942,37.556603
4524,322016110035404,126.978497,37.553689
4525,322016110035417,126.97575,37.558342
4527,322016110037852,126.982167,37.560839
4529,322016110042077,126.979408,37.560717
4530,322016110042345,126.977022,37.55875
4531,322016110042346,126.977022,37.55875
